,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
Angola,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16592083.01,10,10,10,10,10,10,10,10,10
ArabicMiddleEast,107508542.7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ArabicWestAfrica,3001060.25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
AustrailiaNewZealand,10,10,10,20880077.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
BalkanPeninsula,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,46929377.28,10,10,10,10,10,10,10,10,10,10
Brazil,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,176903574.3,10,10,10,10,10,10,10,10,10
BritishIsles,10,10,10,7634508.19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Canada,10,10,10,20063111.66,7481160.28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Caribbean,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,45079.07,10,10,10,10,10,10
CentralAmerica,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,114972562.2,10,10,10,10,10,10
ChineseAsia,10,10,6681113.2,10,10,10,10,10,10,10,10,10,10,846172376.5,10,10,10,10,10,10,10,10,10,10,10,80100000
EastAfrica,10,10,10,35421583.35,50913.7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
EasternEurope,10,10,10,10,10,1100002.53,10,10,10,10,10,10,10,10,10,10,10,10,143811349.2,10,10,10,10,10,10,10
FrenchEurope,10,10,10,10,13016220.7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
FrenchWestAfrica,10,10,10,10,51800444.07,10,62730197.27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
GermanEurope,10,10,10,10,10,8560000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
IndianSubcontinent,10,189000000,10,10,10,10,10,322193407.1,10,10,10,10,10,10,71800000,10,10,118798308.1,10,10,10,10,74000000,10,10,10
ItalianEurope,10,10,10,10,10,10,10,10,63800000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Japan,10,10,10,10,10,10,10,10,10,128000000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Korea,10,10,10,10,10,10,10,10,10,10,10,77200000,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Madagascar,10,10,10,10,3602174.94,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Melanesia,10,10,10,10,10,10,10,1806592.88,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MiddleAfrica,10,10,10,10,12234.32,10,22269802.73,10,10,10,10,10,10,10,10,10,10,10,10,10,4106507.16,10,10,10,10,10
NordicCountries,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1414027.28,10,10,10,10,10,10,10
NorthAfrica,169469059.6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PersianMiddleEast,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23042533.6,10,10,10,10,10,10,10,10,10,10
Portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9504342.69,10,10,10,10,10,10,10,10,10
RussianAsia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5099512.2,10,10,10,10,10,10,10
Somalia,10021337.43,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SoutheastAsia,10,10,10,10,10,10,10,10,10,10,84300000,10,609207.84,10,10,10,10,10,10,10,10,152301.96,10,10,67800000,10
SouthernAfrica,10,10,10,6615646.83,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Spain,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,34466903.78,10,10,10,10,10,10
SpanishSouthAmerica,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,61606605.96,10,10,10,10,10,10
Tajikistan,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13070622.72,10,10,10,10,10,10,10,10,10,10
TurkishMiddleEast,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,70900000,10,10
USA,10,10,10,244385072.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
