"","region","X2000","X2005","X2010","X2015"
"1","Angola",15.56,11.879,9.195,8.311
"2","ArabicMiddleEast",5.39300312528863,5.05093661613128,5.03586285558788,4.86561192764901
"3","ArabicWestAfrica",9.204,8.749,8.081,7.696
"4","AustrailiaNewZealand",6.7501680001043,6.61843731220978,6.63589739959708,6.73596214702971
"5","BalkanPeninsula",9.6857746163845,10.1423577397878,10.5987724230686,11.1727679807359
"6","Brazil",5.89,5.89,5.891,6.292
"7","BritishIsles",10.005115215487,9.18967081387358,8.7946878093911,8.82455740546244
"8","Canada",7.192,7.192,7.293,7.494
"9","Caribbean",7.76123875397468,7.51216656950652,7.48714457472073,7.60545047133629
"10","CentralAmerica",4.79998873187248,4.74962178138631,4.86522111752557,4.93829795946084
"11","ChineseAsia",6.29264095954439,6.49361288665787,6.99114220507273,7.49087986256621
"12","EastAfrica",13.3164690304669,10.4094444511775,8.29420178038277,7.21294604731965
"13","EasternEurope",14.3557986404809,13.9521446311504,12.9118299412129,13.1770413969321
"14","FrenchEurope",9.16436502193406,8.76312478108892,8.92927024732719,9.09960288963121
"15","FrenchWestAfrica",15.6824916233345,13.5261416308024,11.9369220509641,10.516223478511
"16","GermanEurope",9.88703923664215,9.84253799291401,10.2136936397019,10.5540684244512
"17","IndianSubcontinent",8.14007925029765,7.57876867885114,7.09761263978841,7.13721207339131
"18","ItalianEurope",9.63557671329947,9.70429907493807,10.1912217137197,10.6082203401822
"19","Japan",7.851,8.763,9.872,10.777
"20","Korea",6.22780186650632,6.41494640705826,6.49107903968983,7.02755020636027
"21","Madagascar",9.063,7.795,6.815,6.026
"22","Melanesia",7.54251262623279,7.06483369772335,6.92695454525213,6.87758057660722
"23","MiddleAfrica",14.8468821497828,12.8494299633818,11.195504253578,9.84070851958668
"24","NordicCountries",10.7576934351103,10.5325584369068,10.0445344141163,10.0194325004153
"25","NorthAfrica",6.48119320321005,6.17735312836956,5.9672022808958,5.75078702657917
"26","PersianMiddleEast",6.43289760863391,6.07041957378084,5.46155312285946,5.08113664238305
"27","Portugal",10.183,9.785,10.288,10.79
"28","RussianAsia",7.89949126032459,7.63964272829856,6.91861001251356,6.87489075068239
"29","Somalia",14.735,13.458,12.178,10.896
"30","SoutheastAsia",6.80899983699803,6.70087588460499,6.72893220907233,6.86353647207964
"31","SouthernAfrica",13.3722197111552,14.0932740778678,10.9869536938472,9.33280897261309
"32","Spain",8.786,8.488,8.59,9.091
"33","SpanishSouthAmerica",6.15512250102873,6.11787345824062,6.18916171060267,6.31361893329636
"34","Tajikistan",6.324,5.635,5.244,5.049
"35","TurkishMiddleEast",6.02747319302246,5.86439735798167,5.64469153656263,5.51078859586824
"36","USA",8.46514495025806,8.1692265342764,8.17227957121833,8.37429759096013
