,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
Angola,100,100,100,100,100,1471625.43,2391481.09,100,100,100,100,100,100,100,100,100,100,100,100,100,3460467.97,100,100,100,100,100
ArabicMiddleEast,100,100,100,44504.28,100,100,100,100,100,100,100,100,100,100,100,9580134.84,100,100,163181.53,100,100,100,100,100,100,100
ArabicWestAfrica,100,100,100,958274.49,100,100,369382.75,100,100,100,100,100,100,100,100,100,100,100,100,100,534496.04,100,100,100,100,100
AustrailiaNewZealand,220317.5,100,220317.5,100,43507,100,100,100,220317.5,100,100,100,3186288.18,440635,100,1954637.67,100,100,100,100,100,100,100,100,8837.54,100
BalkanPeninsula,100,100,100,24870.48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15089656.64,100,100,100,100,82829.56,100,100
Brazil,100,100,100,52246182.89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BritishIsles,100,100,100,100,10724041.23,4259504.65,100,14650139.92,132465.52,100,100,16276,100,100,28935.19,4994057.19,100,100,37072101.88,100,100,100,100,100,100,100
Canada,340052.74,100,340052.74,9027842.72,100,340052.74,100,100,340052.74,19260.52,100,100,100,100,100,100,100,340052.74,100,340052.74,100,100,100,100,100,100
Caribbean,100,100,100,162723.85,10273.51,100,100,100,100,100,100,100,100,2033.38,100,100,508648.73,100,100,100,100,100,100,100,100,100
CentralAmerica,100,100,100,202613.04,6503491.76,9648.24,100,100,100,100,100,100,100,100,100,100,1997816.64,100,100,99243421.04,100,100,100,100,100,100
ChineseAsia,100,100,100,297077.07,100,100,100,100,100,763492.44,100,1830929,162799473.7,846172376.5,578638.16,100,5369.69,100,100,100,100,100,100,100,451543.31,100
EastAfrica,36251755.73,100,100,281489.16,100,100,32004692.88,100,100,100,100,100,100,100,100,100,2664354.55,100,100,100,100,100,100,72089.35,100,100
EasternEurope,34000650.29,100,100,1600003.68,100000.23,18535494.66,100,100,576431.82,100,100,100,100,100,100,21731944.87,100,100,100,100,100,100,100,591647.92,100,100
FrenchEurope,100,100,100,10139.06,100,124164.45,100,100,15208.59,100,100,100,100,100,100,100,81112.48,100,100,100,100,100,100,100,100,100
FrenchWestAfrica,100,100,100,789625,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,45040686.25,100,100,100,100,100
GermanEurope,100,100,100,391245.45,1799729.07,100,100,100,626352.75,100,100,100,100,100,100,100,312996.36,100,63036561.11,156498.18,100,100,100,167268.08,100,100
IndianSubcontinent,100,19000000,100,425285288.9,100,100,100,100,100,100,100,100,36929420.73,100,100,100,100,100,100,100,100,77480261.46,12000000,100,536610.29,100
ItalianEurope,100,100,100,17683390.08,18580967.79,4209054.49,100,100,100,100,100,100,100,100,3000000,100,828810.6,100,100,100,100,100,100,15353.58,100,100
Japan,100,100,100,34000485.25,100,100,100,100,100,100,100,700000,100,100,100,100,100,100,100,100,100,100,100,100,100,3166667.896
Korea,100,100,100,19684470.63,100,100,100,100,100,41995.98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1833332.104
Madagascar,100,100,100,100,100,100,2164554.05,100,100,100,100,100,100,100,100,100,100,100,100,100,3132105.03,100,100,100,100,100
Melanesia,100,100,100,15281.7,2362.95,100,100,1952206.26,100,100,100,100,1084816.36,100,3855.76,100,100,100,100,100,100,100,100,100,3008.86,100
MiddleAfrica,11539249.36,100,100,8738.8,100,100,100,100,100,100,100,100,100,100,100,100,171280.48,100,100,646750.72,100,100,100,100,100,100
NordicCountries,100,100,100,8514408.58,100,2026625.52,100,100,100,100,100,100,100,100,100,100,100,100,17638498.83,100,100,100,100,100,100,100
NorthAfrica,21781763.53,100,100,100,100,100,20858943.81,100,100,100,100,100,100,100,100,15101464.52,100,100,100,100,30182846.57,100,100,46983.97,100,100
PersianMiddleEast,288031.67,100,100,1440158.35,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,23827.54,100,100
Portugal,100,100,100,2806984.7,2949462.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RussianAsia,100,100,100,14712860.05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Somalia,100,100,100,100,100,100,1233467.13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SoutheastAsia,100,100,203069.28,1523019.6,100,100,100,129488972.9,100,100,100,100,100,1827623.52,255751.03,100,100,100,100,100,100,100,100,100,100,100
SouthernAfrica,100,100,100,5223584.32,100,100,5977478.28,100,100,100,100,100,100,100,100,100,100,100,100,100,8649398.14,100,100,100,100,100
Spain,100,100,100,12365402.51,12993048.55,1471625.43,100,100,91531.6,100,100,100,100,100,100,100,579559.5,100,100,100,100,100,100,100,100,100
SpanishSouthAmerica,100,100,100,1699335.4,100,100,100,100,389589.19,100,75000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Tajikistan,100,100,100,100,100,100,100,1660830.87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TurkishMiddleEast,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7637760.9,100,100,100,100,100,100,100,100,100,100
USA,33064664.1,100,100,100,86313655.64,19552204.39,100,67247850.01,608050.28,175251.07,100,1700000,100,100,132819.86,100,3850050.97,100,100,40215265.09,100,100,100,100,100,100
