,k,destRegion,originRegion,migrations,originPop,destPop
1,0,Angola,Angola,0,23369131,23369131
65,1.66E-09,ArabicMiddleEast,Angola,3,23369131,129306537
107,0,ArabicWestAfrica,Angola,0,23369131,3609543
114,3.59E-07,AustrailiaNewZealand,Angola,366,23369131,26382450
150,3.65E-07,BalkanPeninsula,Angola,378,23369131,27436867
190,3.01E-06,Brazil,Angola,6331,23369131,196796269
234,2.38E-05,BritishIsles,Angola,33979,23369131,67406592
267,2.17E-06,Canada,Angola,2429,23369131,34005274
300,3.10E-08,Caribbean,Angola,37,23369131,40878080
331,3.07E-08,CentralAmerica,Angola,60,23369131,160556595
382,1.36E-08,ChineseAsia,Angola,57,23369131,1347978819
397,1.42E-05,EastAfrica,Angola,35366,23369131,312744208
450,1.01E-07,EasternEurope,Angola,245,23369131,293323902
502,9.37E-06,FrenchEurope,Angola,14017,23369131,76430051
505,1.80E-06,FrenchWestAfrica,Angola,4420,23369131,304167444
572,1.03E-05,GermanEurope,Angola,17890,23369131,114616640
600,1.50E-07,IndianSubcontinent,Angola,673,23369131,1601926753
613,1.23E-06,ItalianEurope,Angola,1750,23369131,66608219
651,2.50E-08,Japan,Angola,45,23369131,128070000
694,0,Korea,Angola,0,23369131,74145711
729,2.12E-09,Madagascar,Angola,2,23369131,21151640
789,1.44E-09,Melanesia,Angola,1,23369131,8982274
816,2.19E-06,MiddleAfrica,Angola,3707,23369131,107982268
860,7.19E-07,NordicCountries,Angola,787,23369131,32071316
890,2.30E-07,NorthAfrica,Angola,490,23369131,203829916
902,4.20E-09,PersianMiddleEast,Angola,7,23369131,103370678
943,0.000228282,Portugal,Angola,167578,23369131,10573100
997,3.75E-09,RussianAsia,Angola,5,23369131,55419091
1023,2.34E-08,Somalia,Angola,18,23369131,12053223
1077,1.57E-06,SoutheastAsia,Angola,4935,23369131,595790239
1083,5.02E-05,SouthernAfrica,Angola,68140,23369131,58410862.36
1121,1.56E-06,Spain,Angola,1955,23369131,46576897
1158,3.50E-07,SpanishSouthAmerica,Angola,738,23369131,198246902
1203,0,Tajikistan,Angola,0,23369131,7641630
1253,4.80E-09,TurkishMiddleEast,Angola,8,23369131,103089615
1284,3.40E-06,USA,Angola,8414,23369131,309413317
34,1.34E-08,Angola,ArabicMiddleEast,57,129306537,23369131
67,0.000637301,ArabicMiddleEast,ArabicMiddleEast,5017899,129306537,129306537
78,4.12E-07,ArabicWestAfrica,ArabicMiddleEast,895,129306537,3609543
129,2.71E-05,AustrailiaNewZealand,ArabicMiddleEast,120542,129306537,26382450
162,1.23E-05,BalkanPeninsula,ArabicMiddleEast,55475,129306537,27436867
197,2.65E-06,Brazil,ArabicMiddleEast,24297,129306537,196796269
227,1.75E-05,BritishIsles,ArabicMiddleEast,108746,129306537,67406592
270,3.04E-05,Canada,ArabicMiddleEast,147886,129306537,34005274
289,8.93E-07,Caribbean,ArabicMiddleEast,4645,129306537,40878080
325,6.09E-07,CentralAmerica,ArabicMiddleEast,5182,129306537,160556595
380,1.42E-06,ChineseAsia,ArabicMiddleEast,26045,129306537,1347978819
401,5.99E-07,EastAfrica,ArabicMiddleEast,6486,129306537,312744208
436,0.000211265,EasternEurope,ArabicMiddleEast,2233910,129306537,293323902
504,1.17E-05,FrenchEurope,ArabicMiddleEast,76069,129306537,76430051
533,2.85E-06,FrenchWestAfrica,ArabicMiddleEast,30537,129306537,304167444
547,3.21E-05,GermanEurope,ArabicMiddleEast,242370,129306537,114616640
595,1.50E-06,IndianSubcontinent,ArabicMiddleEast,29161,129306537,1601926753
630,2.43E-06,ItalianEurope,ArabicMiddleEast,15051,129306537,66608219
681,1.63E-07,Japan,ArabicMiddleEast,1279,129306537,128070000
712,2.93E-08,Korea,ArabicMiddleEast,189,129306537,74145711
748,2.22E-08,Madagascar,ArabicMiddleEast,91,129306537,21151640
767,8.63E-08,Melanesia,ArabicMiddleEast,260,129306537,8982274
808,1.72E-06,MiddleAfrica,ArabicMiddleEast,12680,129306537,107982268
857,1.62E-05,NordicCountries,ArabicMiddleEast,77278,129306537,32071316
891,1.77E-05,NorthAfrica,ArabicMiddleEast,164167,129306537,203829916
906,6.62E-07,PersianMiddleEast,ArabicMiddleEast,4809,129306537,103370678
938,3.94E-08,Portugal,ArabicMiddleEast,126,129306537,10573100
976,2.80E-05,RussianAsia,ArabicMiddleEast,162757,129306537,55419091
1039,1.10E-08,Somalia,ArabicMiddleEast,37,129306537,12053223
1059,3.24E-06,SoutheastAsia,ArabicMiddleEast,44153,129306537,595790239
1102,9.07E-07,SouthernAfrica,ArabicMiddleEast,5363,129306537,58410862.36
1145,2.09E-06,Spain,ArabicMiddleEast,11412,129306537,46576897
1163,4.07E-06,SpanishSouthAmerica,ArabicMiddleEast,37375,129306537,198246902
1194,2.38E-06,Tajikistan,ArabicMiddleEast,6761,129306537,7641630
1248,8.72E-06,TurkishMiddleEast,ArabicMiddleEast,63275,129306537,103089615
1290,5.35E-05,USA,ArabicMiddleEast,576263,129306537,309413317
10,0,Angola,ArabicWestAfrica,0,3609543,23369131
56,3.94E-07,ArabicMiddleEast,ArabicWestAfrica,143,3609543,129306537
102,0,ArabicWestAfrica,ArabicWestAfrica,0,3609543,3609543
137,8.79E-08,AustrailiaNewZealand,ArabicWestAfrica,18,3609543,26382450
147,7.23E-08,BalkanPeninsula,ArabicWestAfrica,15,3609543,27436867
200,1.42E-08,Brazil,ArabicWestAfrica,6,3609543,196796269
233,3.77E-06,BritishIsles,ArabicWestAfrica,1081,3609543,67406592
263,6.73E-07,Canada,ArabicWestAfrica,151,3609543,34005274
308,4.17E-08,Caribbean,ArabicWestAfrica,10,3609543,40878080
344,4.08E-08,CentralAmerica,ArabicWestAfrica,16,3609543,160556595
381,9.48E-09,ChineseAsia,ArabicWestAfrica,8,3609543,1347978819
426,5.01E-07,EastAfrica,ArabicWestAfrica,250,3609543,312744208
441,5.99E-07,EasternEurope,ArabicWestAfrica,292,3609543,293323902
484,2.00E-06,FrenchEurope,ArabicWestAfrica,600,3609543,76430051
540,0.000170622,FrenchWestAfrica,ArabicWestAfrica,84210,3609543,304167444
541,8.74E-06,GermanEurope,ArabicWestAfrica,3036,3609543,114616640
599,9.36E-08,IndianSubcontinent,ArabicWestAfrica,84,3609543,1601926753
633,1.35E-06,ItalianEurope,ArabicWestAfrica,387,3609543,66608219
671,1.11E-08,Japan,ArabicWestAfrica,4,3609543,128070000
717,0,Korea,ArabicWestAfrica,0,3609543,74145711
755,1.06E-08,Madagascar,ArabicWestAfrica,2,3609543,21151640
791,0,Melanesia,ArabicWestAfrica,0,3609543,8982274
807,2.59E-06,MiddleAfrica,ArabicWestAfrica,881,3609543,107982268
830,2.64E-07,NordicCountries,ArabicWestAfrica,58,3609543,32071316
884,6.44E-07,NorthAfrica,ArabicWestAfrica,275,3609543,203829916
932,0,PersianMiddleEast,ArabicWestAfrica,0,3609543,103370678
971,0,Portugal,ArabicWestAfrica,0,3609543,10573100
993,0,RussianAsia,ArabicWestAfrica,0,3609543,55419091
1044,0,Somalia,ArabicWestAfrica,0,3609543,12053223
1080,2.70E-07,SoutheastAsia,ArabicWestAfrica,170,3609543,595790239
1105,2.20E-08,SouthernAfrica,ArabicWestAfrica,6,3609543,58410862.36
1135,1.20E-05,Spain,ArabicWestAfrica,3022,3609543,46576897
1171,1.42E-08,SpanishSouthAmerica,ArabicWestAfrica,6,3609543,198246902
1200,0,Tajikistan,ArabicWestAfrica,0,3609543,7641630
1235,3.89E-08,TurkishMiddleEast,ArabicWestAfrica,13,3609543,103089615
1295,2.60E-06,USA,ArabicWestAfrica,1290,3609543,309413317
17,2.49E-08,Angola,AustrailiaNewZealand,27,26382450,23369131
62,6.66E-06,ArabicMiddleEast,AustrailiaNewZealand,13357,26382450,129306537
76,1.81E-09,ArabicWestAfrica,AustrailiaNewZealand,1,26382450,3609543
139,0.000360331,AustrailiaNewZealand,AustrailiaNewZealand,408043,26382450,26382450
180,1.08E-05,BalkanPeninsula,AustrailiaNewZealand,12379,26382450,27436867
207,2.14E-07,Brazil,AustrailiaNewZealand,500,26382450,196796269
232,0.000115436,BritishIsles,AustrailiaNewZealand,183234,26382450,67406592
286,2.36E-05,Canada,AustrailiaNewZealand,29224,26382450,34005274
299,4.30E-07,Caribbean,AustrailiaNewZealand,570,26382450,40878080
347,2.84E-07,CentralAmerica,AustrailiaNewZealand,617,26382450,160556595
383,8.84E-06,ChineseAsia,AustrailiaNewZealand,41263,26382450,1347978819
417,9.76E-07,EastAfrica,AustrailiaNewZealand,2691,26382450,312744208
433,4.10E-07,EasternEurope,AustrailiaNewZealand,1106,26382450,293323902
489,2.60E-05,FrenchEurope,AustrailiaNewZealand,43207,26382450,76430051
537,3.24E-07,FrenchWestAfrica,AustrailiaNewZealand,885,26382450,304167444
563,1.37E-05,GermanEurope,AustrailiaNewZealand,26409,26382450,114616640
580,1.09E-06,IndianSubcontinent,AustrailiaNewZealand,5404,26382450,1601926753
623,4.15E-06,ItalianEurope,AustrailiaNewZealand,6553,26382450,66608219
669,5.50E-06,Japan,AustrailiaNewZealand,11007,26382450,128070000
685,6.60E-07,Korea,AustrailiaNewZealand,1084,26382450,74145711
743,3.35E-08,Madagascar,AustrailiaNewZealand,35,26382450,21151640
760,1.94E-05,Melanesia,AustrailiaNewZealand,14870,26382450,8982274
809,1.87E-07,MiddleAfrica,AustrailiaNewZealand,351,26382450,107982268
850,6.00E-06,NordicCountries,AustrailiaNewZealand,7290,26382450,32071316
889,3.18E-07,NorthAfrica,AustrailiaNewZealand,751,26382450,203829916
922,2.97E-08,PersianMiddleEast,AustrailiaNewZealand,55,26382450,103370678
955,1.17E-06,Portugal,AustrailiaNewZealand,957,26382450,10573100
1006,1.22E-08,RussianAsia,AustrailiaNewZealand,18,26382450,55419091
1041,2.34E-09,Somalia,AustrailiaNewZealand,2,26382450,12053223
1047,6.08E-06,SoutheastAsia,AustrailiaNewZealand,21136,26382450,595790239
1113,3.88E-06,SouthernAfrica,AustrailiaNewZealand,5847,26382450,58410862.36
1151,2.46E-06,Spain,AustrailiaNewZealand,3425,26382450,46576897
1161,1.33E-06,SpanishSouthAmerica,AustrailiaNewZealand,3110,26382450,198246902
1224,0,Tajikistan,AustrailiaNewZealand,0,26382450,7641630
1257,1.74E-06,TurkishMiddleEast,AustrailiaNewZealand,3223,26382450,103089615
1263,3.70E-05,USA,AustrailiaNewZealand,101588,26382450,309413317
16,7.40E-08,Angola,BalkanPeninsula,83,27436867,23369131
52,2.18E-05,ArabicMiddleEast,BalkanPeninsula,45305,27436867,129306537
95,3.49E-09,ArabicWestAfrica,BalkanPeninsula,2,27436867,3609543
141,0.000203474,AustrailiaNewZealand,BalkanPeninsula,238314,27436867,26382450
170,9.14E-05,BalkanPeninsula,BalkanPeninsula,108537,27436867,27436867
188,1.51E-06,Brazil,BalkanPeninsula,3644,27436867,196796269
239,2.76E-06,BritishIsles,BalkanPeninsula,4536,27436867,67406592
253,9.82E-05,Canada,BalkanPeninsula,125973,27436867,34005274
313,2.60E-07,Caribbean,BalkanPeninsula,356,27436867,40878080
339,3.18E-07,CentralAmerica,BalkanPeninsula,713,27436867,160556595
376,3.38E-08,ChineseAsia,BalkanPeninsula,163,27436867,1347978819
414,9.30E-07,EastAfrica,BalkanPeninsula,2652,27436867,312744208
442,1.99E-05,EasternEurope,BalkanPeninsula,55332,27436867,293323902
497,5.94E-05,FrenchEurope,BalkanPeninsula,102009,27436867,76430051
530,3.73E-07,FrenchWestAfrica,BalkanPeninsula,1053,27436867,304167444
549,0.000474026,GermanEurope,BalkanPeninsula,942104,27436867,114616640
608,1.41E-07,IndianSubcontinent,BalkanPeninsula,722,27436867,1601926753
631,0.000401269,ItalianEurope,BalkanPeninsula,655954,27436867,66608219
656,2.80E-08,Japan,BalkanPeninsula,58,27436867,128070000
714,0,Korea,BalkanPeninsula,0,27436867,74145711
740,1.94E-07,Madagascar,BalkanPeninsula,210,27436867,21151640
768,2.20E-07,Melanesia,BalkanPeninsula,175,27436867,8982274
804,1.83E-06,MiddleAfrica,BalkanPeninsula,3555,27436867,107982268
839,8.93E-05,NordicCountries,BalkanPeninsula,112233,27436867,32071316
885,1.87E-06,NorthAfrica,BalkanPeninsula,4567,27436867,203829916
919,5.33E-08,PersianMiddleEast,BalkanPeninsula,102,27436867,103370678
942,6.18E-07,Portugal,BalkanPeninsula,521,27436867,10573100
988,1.11E-08,RussianAsia,BalkanPeninsula,17,27436867,55419091
1025,0,Somalia,BalkanPeninsula,0,27436867,12053223
1071,2.46E-07,SoutheastAsia,BalkanPeninsula,885,27436867,595790239
1103,3.19E-06,SouthernAfrica,BalkanPeninsula,4972,27436867,58410862.36
1139,4.17E-06,Spain,BalkanPeninsula,5993,27436867,46576897
1164,2.62E-06,SpanishSouthAmerica,BalkanPeninsula,6339,27436867,198246902
1189,0,Tajikistan,BalkanPeninsula,0,27436867,7641630
1243,4.91E-05,TurkishMiddleEast,BalkanPeninsula,93922,27436867,103089615
1276,0.000117641,USA,BalkanPeninsula,334287,27436867,309413317
28,1.64E-10,Angola,Brazil,1,196796269,23369131
66,1.40E-06,ArabicMiddleEast,Brazil,15850,196796269,129306537
99,5.49E-08,ArabicWestAfrica,Brazil,171,196796269,3609543
121,8.40E-07,AustrailiaNewZealand,Brazil,5355,196796269,26382450
149,1.57E-07,BalkanPeninsula,Brazil,1018,196796269,27436867
213,0,Brazil,Brazil,0,196796269,196796269
226,1.13E-06,BritishIsles,Brazil,10068,196796269,67406592
279,1.91E-06,Canada,Brazil,13365,196796269,34005274
316,1.94E-07,Caribbean,Brazil,1450,196796269,40878080
355,3.45E-07,CentralAmerica,Brazil,4212,196796269,160556595
373,6.57E-07,ChineseAsia,Brazil,17251,196796269,1347978819
416,2.00E-08,EastAfrica,Brazil,310,196796269,312744208
452,3.98E-08,EasternEurope,Brazil,604,196796269,293323902
491,1.93E-06,FrenchEurope,Brazil,18055,196796269,76430051
509,4.31E-07,FrenchWestAfrica,Brazil,6628,196796269,304167444
568,4.04E-06,GermanEurope,Brazil,43725,196796269,114616640
582,0,IndianSubcontinent,Brazil,0,196796269,1601926753
616,3.27E-06,ItalianEurope,Brazil,29088,196796269,66608219
678,2.15E-05,Japan,Brazil,242246,196796269,128070000
687,1.56E-07,Korea,Brazil,1442,196796269,74145711
725,4.25E-09,Madagascar,Brazil,25,196796269,21151640
775,1.85E-09,Melanesia,Brazil,8,196796269,8982274
821,1.89E-08,MiddleAfrica,Brazil,200,196796269,107982268
831,9.79E-07,NordicCountries,Brazil,6694,196796269,32071316
872,1.23E-08,NorthAfrica,Brazil,164,196796269,203829916
909,0,PersianMiddleEast,Brazil,0,196796269,103370678
959,1.06E-05,Portugal,Brazil,48521,196796269,10573100
973,1.08E-09,RussianAsia,Brazil,9,196796269,55419091
1018,0,Somalia,Brazil,0,196796269,12053223
1062,3.76E-07,SoutheastAsia,Brazil,7358,196796269,595790239
1100,1.59E-07,SouthernAfrica,Brazil,1351,196796269,58410862.36
1146,3.43E-06,Spain,Brazil,26797,196796269,46576897
1178,1.37E-05,SpanishSouthAmerica,Brazil,180849,196796269,198246902
1214,0,Tajikistan,Brazil,0,196796269,7641630
1259,3.29E-08,TurkishMiddleEast,Brazil,343,196796269,103089615
1280,1.46E-05,USA,Brazil,225359,196796269,309413317
18,9.09E-07,Angola,BritishIsles,2207,67406592,23369131
47,3.08E-05,ArabicMiddleEast,BritishIsles,138683,67406592,129306537
104,6.53E-08,ArabicWestAfrica,BritishIsles,81,67406592,3609543
144,0.000514291,AustrailiaNewZealand,BritishIsles,1304868,67406592,26382450
146,9.81E-06,BalkanPeninsula,BritishIsles,25233,67406592,27436867
181,8.12E-07,Brazil,BritishIsles,4248,67406592,196796269
242,0.000242992,BritishIsles,BritishIsles,864191,67406592,67406592
282,0.000227487,Canada,BritishIsles,632408,67406592,34005274
312,8.94E-06,Caribbean,BritishIsles,26565,67406592,40878080
348,8.88E-07,CentralAmerica,BritishIsles,4314,67406592,160556595
361,2.74E-06,ChineseAsia,BritishIsles,28614,67406592,1347978819
430,1.11E-05,EastAfrica,BritishIsles,68583,67406592,312744208
448,1.23E-06,EasternEurope,BritishIsles,7405,67406592,293323902
481,8.51E-05,FrenchEurope,BritishIsles,316573,67406592,76430051
512,5.40E-06,FrenchWestAfrica,BritishIsles,33017,67406592,304167444
546,5.02E-05,GermanEurope,BritishIsles,216148,67406592,114616640
588,1.55E-06,IndianSubcontinent,BritishIsles,17258,67406592,1601926753
625,9.74E-06,ItalianEurope,BritishIsles,34504,67406592,66608219
676,3.10E-06,Japan,BritishIsles,13903,67406592,128070000
711,4.07E-07,Korea,BritishIsles,1497,67406592,74145711
738,9.00E-08,Madagascar,BritishIsles,211,67406592,21151640
779,2.63E-06,Melanesia,BritishIsles,4530,67406592,8982274
827,7.67E-06,MiddleAfrica,BritishIsles,32324,67406592,107982268
851,1.82E-05,NordicCountries,BritishIsles,49628,67406592,32071316
876,1.45E-06,NorthAfrica,BritishIsles,7661,67406592,203829916
928,6.46E-08,PersianMiddleEast,BritishIsles,268,67406592,103370678
960,5.91E-06,Portugal,BritishIsles,10782,67406592,10573100
1002,3.89E-08,RussianAsia,BritishIsles,129,67406592,55419091
1020,2.35E-08,Somalia,BritishIsles,45,67406592,12053223
1070,8.70E-06,SoutheastAsia,BritishIsles,67769,67406592,595790239
1110,4.17E-05,SouthernAfrica,BritishIsles,140869,67406592,58410862.36
1149,2.91E-05,Spain,BritishIsles,90489,67406592,46576897
1184,1.89E-06,SpanishSouthAmerica,BritishIsles,9902,67406592,198246902
1223,0,Tajikistan,BritishIsles,0,67406592,7641630
1226,4.74E-06,TurkishMiddleEast,BritishIsles,19624,67406592,103089615
1287,0.000162753,USA,BritishIsles,1001863,67406592,309413317
4,2.97E-09,Angola,Canada,4,34005274,23369131
45,1.51E-06,ArabicMiddleEast,Canada,3766,34005274,129306537
83,8.14E-08,ArabicWestAfrica,Canada,56,34005274,3609543
111,2.47E-05,AustrailiaNewZealand,Canada,34763,34005274,26382450
151,5.16E-06,BalkanPeninsula,Canada,7374,34005274,27436867
196,4.31E-07,Brazil,Canada,1253,34005274,196796269
221,4.06E-05,BritishIsles,Canada,80161,34005274,67406592
272,0,Canada,Canada,0,34005274,34005274
314,7.81E-06,Caribbean,Canada,12883,34005274,40878080
341,3.26E-06,CentralAmerica,Canada,8794,34005274,160556595
390,1.00E-06,ChineseAsia,Canada,5819,34005274,1347978819
399,7.32E-07,EastAfrica,Canada,2511,34005274,312744208
443,8.90E-07,EasternEurope,Canada,2985,34005274,293323902
487,1.67E-05,FrenchEurope,Canada,34542,34005274,76430051
517,2.11E-06,FrenchWestAfrica,Canada,7179,34005274,304167444
575,1.14E-05,GermanEurope,Canada,27310,34005274,114616640
601,1.06E-06,IndianSubcontinent,Canada,6520,34005274,1601926753
629,3.44E-06,ItalianEurope,Canada,6759,34005274,66608219
659,3.68E-06,Japan,Canada,9167,34005274,128070000
713,1.27E-06,Korea,Canada,2594,34005274,74145711
733,1.15E-07,Madagascar,Canada,149,34005274,21151640
777,4.91E-07,Melanesia,Canada,469,34005274,8982274
798,3.84E-07,MiddleAfrica,Canada,898,34005274,107982268
854,5.90E-06,NordicCountries,Canada,8916,34005274,32071316
888,3.00E-07,NorthAfrica,Canada,882,34005274,203829916
911,3.08E-08,PersianMiddleEast,Canada,71,34005274,103370678
937,7.96E-06,Portugal,Canada,8067,34005274,10573100
992,8.70E-09,RussianAsia,Canada,16,34005274,55419091
1012,9.41E-09,Somalia,Canada,10,34005274,12053223
1065,1.36E-06,SoutheastAsia,Canada,5900,34005274,595790239
1090,1.56E-06,SouthernAfrica,Canada,2930,34005274,58410862.36
1133,1.78E-06,Spain,Canada,3074,34005274,46576897
1185,3.35E-06,SpanishSouthAmerica,Canada,9745,34005274,198246902
1192,0,Tajikistan,Canada,0,34005274,7641630
1237,6.18E-07,TurkishMiddleEast,Canada,1422,34005274,103089615
1285,0.00027896,USA,Canada,953381,34005274,309413317
26,6.33E-10,Angola,Caribbean,1,40878080,23369131
59,5.60E-07,ArabicMiddleEast,Caribbean,1638,40878080,129306537
96,7.44E-09,ArabicWestAfrica,Caribbean,6,40878080,3609543
133,2.31E-06,AustrailiaNewZealand,Caribbean,3816,40878080,26382450
156,1.26E-06,BalkanPeninsula,Caribbean,2117,40878080,27436867
191,4.46E-07,Brazil,Caribbean,1517,40878080,196796269
229,0.000104091,BritishIsles,Caribbean,240784,40878080,67406592
259,0.000161223,Canada,Caribbean,291518,40878080,34005274
305,0.000272753,Caribbean,Caribbean,526973,40878080,40878080
351,9.08E-06,CentralAmerica,Caribbean,28710,40878080,160556595
375,1.06E-08,ChineseAsia,Caribbean,72,40878080,1347978819
421,1.36E-06,EastAfrica,Caribbean,5449,40878080,312744208
468,6.27E-06,EasternEurope,Caribbean,24630,40878080,293323902
482,0.000174614,FrenchEurope,Caribbean,422607,40878080,76430051
535,2.47E-06,FrenchWestAfrica,Caribbean,9848,40878080,304167444
