,k,destRegion,originRegion,migrations,originPop,destPop
555,1.02E-05,GermanEurope,Caribbean,28479,40878080,114616640
581,2.31E-08,IndianSubcontinent,Caribbean,167,40878080,1601926753
647,1.31E-05,ItalianEurope,Caribbean,30185,40878080,66608219
673,1.96E-07,Japan,Caribbean,570,40878080,128070000
707,0,Korea,Caribbean,0,40878080,74145711
746,3.28E-09,Madagascar,Caribbean,5,40878080,21151640
778,7.18E-07,Melanesia,Caribbean,804,40878080,8982274
822,1.96E-07,MiddleAfrica,Caribbean,536,40878080,107982268
846,2.64E-06,NordicCountries,Caribbean,4678,40878080,32071316
870,1.19E-07,NorthAfrica,Caribbean,410,40878080,203829916
916,0,PersianMiddleEast,Caribbean,0,40878080,103370678
969,4.77E-07,Portugal,Caribbean,566,40878080,10573100
1008,3.29E-08,RussianAsia,Caribbean,71,40878080,55419091
1043,1.12E-08,Somalia,Caribbean,14,40878080,12053223
1045,2.48E-06,SoutheastAsia,Caribbean,12596,40878080,595790239
1095,4.44E-07,SouthernAfrica,Caribbean,975,40878080,58410862.36
1123,3.82E-05,Spain,Caribbean,77454,40878080,46576897
1169,2.09E-05,SpanishSouthAmerica,Caribbean,71351,40878080,198246902
1222,0,Tajikistan,Caribbean,0,40878080,7641630
1255,9.20E-08,TurkishMiddleEast,Caribbean,248,40878080,103089615
1274,0.00113926,USA,Caribbean,4561404,40878080,309413317
25,0,Angola,CentralAmerica,0,160556595,23369131
44,2.75E-07,ArabicMiddleEast,CentralAmerica,2611,160556595,129306537
80,0,ArabicWestAfrica,CentralAmerica,0,160556595,3609543
125,2.39E-06,AustrailiaNewZealand,CentralAmerica,12774,160556595,26382450
174,7.89E-08,BalkanPeninsula,CentralAmerica,428,160556595,27436867
204,3.02E-07,Brazil,CentralAmerica,3329,160556595,196796269
248,9.88E-08,BritishIsles,CentralAmerica,741,160556595,67406592
266,1.96E-05,Canada,CentralAmerica,115167,160556595,34005274
321,1.92E-06,Caribbean,CentralAmerica,12002,160556595,40878080
356,4.25E-05,CentralAmerica,CentralAmerica,435937,160556595,160556595
369,1.05E-08,ChineseAsia,CentralAmerica,231,160556595,1347978819
406,4.10E-08,EastAfrica,CentralAmerica,534,160556595,312744208
437,3.67E-06,EasternEurope,CentralAmerica,46695,160556595,293323902
493,1.56E-06,FrenchEurope,CentralAmerica,12243,160556595,76430051
514,1.70E-08,FrenchWestAfrica,CentralAmerica,219,160556595,304167444
566,1.10E-06,GermanEurope,CentralAmerica,9981,160556595,114616640
602,2.88E-08,IndianSubcontinent,CentralAmerica,676,160556595,1601926753
622,1.62E-06,ItalianEurope,CentralAmerica,12084,160556595,66608219
655,2.34E-07,Japan,CentralAmerica,2210,160556595,128070000
704,1.29E-09,Korea,CentralAmerica,10,160556595,74145711
728,1.62E-09,Madagascar,CentralAmerica,8,160556595,21151640
769,1.38E-08,Melanesia,CentralAmerica,50,160556595,8982274
810,4.58E-08,MiddleAfrica,CentralAmerica,407,160556595,107982268
858,1.33E-06,NordicCountries,CentralAmerica,7632,160556595,32071316
897,7.62E-08,NorthAfrica,CentralAmerica,851,160556595,203829916
925,6.86E-10,PersianMiddleEast,CentralAmerica,6,160556595,103370678
951,0,Portugal,CentralAmerica,0,160556595,10573100
982,1.20E-08,RussianAsia,CentralAmerica,84,160556595,55419091
1036,1.49E-09,Somalia,CentralAmerica,6,160556595,12053223
1051,5.31E-07,SoutheastAsia,CentralAmerica,8725,160556595,595790239
1086,4.00E-08,SouthernAfrica,CentralAmerica,285,160556595,58410862.36
1129,4.35E-06,Spain,CentralAmerica,28600,160556595,46576897
1156,3.71E-06,SpanishSouthAmerica,CentralAmerica,40996,160556595,198246902
1213,0,Tajikistan,CentralAmerica,0,160556595,7641630
1225,2.88E-08,TurkishMiddleEast,CentralAmerica,252,160556595,103089615
1261,0.0008834,USA,CentralAmerica,11470741,160556595,309413317
12,1.44E-09,Angola,ChineseAsia,46,1347978819,23369131
71,2.25E-07,ArabicMiddleEast,ChineseAsia,13289,1347978819,129306537
91,1.04E-08,ArabicWestAfrica,ChineseAsia,170,1347978819,3609543
131,8.42E-06,AustrailiaNewZealand,ChineseAsia,280726,1347978819,26382450
155,4.82E-08,BalkanPeninsula,ChineseAsia,1632,1347978819,27436867
195,2.17E-07,Brazil,ChineseAsia,14940,1347978819,196796269
252,5.28E-06,BritishIsles,ChineseAsia,246724,1347978819,67406592
274,1.77E-05,Canada,ChineseAsia,646098,1347978819,34005274
296,2.02E-07,Caribbean,ChineseAsia,7908,1347978819,40878080
345,3.21E-07,CentralAmerica,ChineseAsia,20498,1347978819,160556595
370,1.80E-05,ChineseAsia,ChineseAsia,2480572,1347978819,1347978819
402,3.07E-07,EastAfrica,ChineseAsia,24934,1347978819,312744208
449,3.52E-07,EasternEurope,ChineseAsia,27929,1347978819,293323902
494,1.05E-06,FrenchEurope,ChineseAsia,51481,1347978819,76430051
521,3.09E-08,FrenchWestAfrica,ChineseAsia,2484,1347978819,304167444
559,2.50E-06,GermanEurope,ChineseAsia,141428,1347978819,114616640
609,3.31E-08,IndianSubcontinent,ChineseAsia,4844,1347978819,1601926753
615,1.62E-06,ItalianEurope,ChineseAsia,75205,1347978819,66608219
660,5.70E-06,Japan,ChineseAsia,335578,1347978819,128070000
700,1.62E-06,Korea,ChineseAsia,78499,1347978819,74145711
723,1.26E-07,Madagascar,ChineseAsia,3870,1347978819,21151640
783,4.74E-08,Melanesia,ChineseAsia,1073,1347978819,8982274
797,1.34E-07,MiddleAfrica,ChineseAsia,7451,1347978819,107982268
832,5.92E-07,NordicCountries,ChineseAsia,21183,1347978819,32071316
866,1.65E-08,NorthAfrica,ChineseAsia,1151,1347978819,203829916
913,7.88E-10,PersianMiddleEast,ChineseAsia,43,1347978819,103370678
952,2.09E-07,Portugal,ChineseAsia,5020,1347978819,10573100
978,2.78E-07,RussianAsia,ChineseAsia,12121,1347978819,55419091
1042,2.78E-10,Somalia,ChineseAsia,7,1347978819,12053223
1061,9.31E-06,SoutheastAsia,ChineseAsia,954099,1347978819,595790239
1092,2.66E-07,SouthernAfrica,ChineseAsia,11816,1347978819,58410862.36
1132,5.69E-07,Spain,ChineseAsia,23304,1347978819,46576897
1172,5.23E-07,SpanishSouthAmerica,ChineseAsia,36093,1347978819,198246902
1201,0,Tajikistan,ChineseAsia,0,1347978819,7641630
1251,3.17E-08,TurkishMiddleEast,ChineseAsia,1725,1347978819,103089615
1277,1.93E-05,USA,ChineseAsia,1561741,1347978819,309413317
31,1.77E-07,Angola,EastAfrica,1613,312744208,23369131
49,8.20E-06,ArabicMiddleEast,EastAfrica,137935,312744208,129306537
106,5.82E-09,ArabicWestAfrica,EastAfrica,27,312744208,3609543
