Arabic,0.273
Bengali,0.029
Cantonese,0.116
English,0.889
French,0.337
German,0.191
Hausa,0.004
Hindustani,0.134
Italian,0.108
Japanese,0.133
Javanese,0.026
Korean,0.053
Malay,0.077
Mandarin,0.411
Marathi,0.009
Persian,0.04
Portuguese,0.119
Punjubi,0.019
Russian,0.244
Spanish,0.329
Swahili,0.026
Tamil,0.03
Telugu,0.012
Turkish,0.047
Vietnamese,0.019
Wu_Chinese,0.053
