,k,destRegion,originRegion,migrations,originPop,destPop
83,4.34E-09,ArabicWestAfrica,Canada,3.3,34168668,3609543
84,0,ArabicWestAfrica,Somalia,0,12053223,3609543
85,1.88E-08,ArabicWestAfrica,MiddleAfrica,35.7,107982268,3609543
86,0,ArabicWestAfrica,SoutheastAsia,0,597327771,3609543
87,5.52E-09,ArabicWestAfrica,Spain,5.4,46788630,3609543
88,0,ArabicWestAfrica,IndianSubcontinent,0.5,1602003617,3609543
89,1.91E-09,ArabicWestAfrica,SpanishSouthAmerica,6.1,198483935,3609543
90,0,ArabicWestAfrica,PersianMiddleEast,0.1,103370678,3609543
91,5.96E-10,ArabicWestAfrica,ChineseAsia,10,1393132348,3609543
92,2.80E-09,ArabicWestAfrica,TurkishMiddleEast,5.4,103089615,3609543
93,0,ArabicWestAfrica,NordicCountries,0.2,32140303,3609543
94,0,ArabicWestAfrica,RussianAsia,0.4,55514817,3609543
95,0,ArabicWestAfrica,BalkanPeninsula,0,29503649,3609543
96,0,ArabicWestAfrica,Caribbean,0.4,41724731,3609543
97,0,ArabicWestAfrica,SouthernAfrica,0,59016093,3609543
98,0,ArabicWestAfrica,Melanesia,0,8983311,3609543
99,3.21E-09,ArabicWestAfrica,Brazil,10.1,196796269,3609543
100,0,ArabicWestAfrica,Portugal,0,10652321,3609543
101,0,ArabicWestAfrica,Madagascar,0,21151640,3609543
102,0,ArabicWestAfrica,ArabicWestAfrica,0,3609543,3609543
103,0,ArabicWestAfrica,Tajikistan,-0.1,7641630,3609543
104,0,ArabicWestAfrica,BritishIsles,0,68013843,3609543
105,0,ArabicWestAfrica,Japan,0,128551873,3609543
106,0,ArabicWestAfrica,EastAfrica,0,313782635,3609543
107,0,ArabicWestAfrica,Angola,0,23369131,3609543
108,1.31E-09,ArabicWestAfrica,USA,6.9,308711621,3609543
109,5.51E-07,AustrailiaNewZealand,Japan,2439.2,128551873,26490126
110,6.56E-08,AustrailiaNewZealand,RussianAsia,141.7,55514817,26490126
111,1.13E-06,AustrailiaNewZealand,Canada,1606.9,34168668,26490126
112,4.88E-08,AustrailiaNewZealand,MiddleAfrica,186.2,107982268,26490126
113,5.11E-07,AustrailiaNewZealand,IndianSubcontinent,19822.8,1602003617,26490126
