,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
Angola,10,10,10,10,10,1471625.43,2391481.09,10,10,10,10,10,10,10,10,10,10,10,10,10,3460467.97,10,10,10,10,10
ArabicMiddleEast,10,10,10,44504.28,10,10,10,10,10,10,10,10,10,10,10,9580134.84,10,10,163181.53,10,10,10,10,10,10,10
ArabicWestAfrica,10,10,10,958274.49,10,10,369382.75,10,10,10,10,10,10,10,10,10,10,10,10,10,534496.04,10,10,10,10,10
AustrailiaNewZealand,220317.5,10,220317.5,10,43507,10,10,10,220317.5,10,10,10,3186288.18,440635,10,1954637.67,10,10,10,10,10,10,10,10,8837.54,10
BalkanPeninsula,10,10,10,24870.48,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15089656.64,10,10,10,10,82829.56,10,10
Brazil,10,10,10,52246182.89,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
BritishIsles,10,10,10,10,10724041.23,4259504.65,10,14650139.92,132465.52,10,10,16276,10,10,28935.19,4994057.19,10,10,37072101.88,10,10,10,10,10,10,10
Canada,340052.74,10,340052.74,9027842.72,10,340052.74,10,10,340052.74,19260.52,10,10,10,10,10,10,10,340052.74,10,340052.74,10,10,10,10,10,10
Caribbean,10,10,10,162723.85,10273.51,10,10,10,10,10,10,10,10,2033.38,10,10,508648.73,10,10,10,10,10,10,10,10,10
CentralAmerica,10,10,10,202613.04,6503491.76,9648.24,10,10,10,10,10,10,10,10,10,10,1997816.64,10,10,99243421.04,10,10,10,10,10,10
ChineseAsia,10,10,10,297077.07,10,10,10,10,10,763492.44,10,1830929,162799473.7,846172376.5,578638.16,10,5369.69,10,10,10,10,10,10,10,451543.31,10
EastAfrica,36251755.73,10,10,281489.16,10,10,32004692.88,10,10,10,10,10,10,10,10,10,2664354.55,10,10,10,10,10,10,72089.35,10,10
EasternEurope,34000650.29,10,10,1600003.68,100000.23,18535494.66,10,10,576431.82,10,10,10,10,10,10,21731944.87,10,10,10,10,10,10,10,591647.92,10,10
FrenchEurope,10,10,10,10139.06,10,124164.45,10,10,15208.59,10,10,10,10,10,10,10,81112.48,10,10,10,10,10,10,10,10,10
FrenchWestAfrica,10,10,10,789625,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,45040686.25,10,10,10,10,10
GermanEurope,10,10,10,391245.45,1799729.07,10,10,10,626352.75,10,10,10,10,10,10,10,312996.36,10,63036561.11,156498.18,10,10,10,167268.08,10,10
IndianSubcontinent,10,19000000,10,425285288.9,10,10,10,10,10,10,10,10,36929420.73,10,10,10,10,10,10,10,10,77480261.46,12000000,10,536610.29,10
ItalianEurope,10,10,10,17683390.08,18580967.79,4209054.49,10,10,10,10,10,10,10,10,3000000,10,828810.6,10,10,10,10,10,10,15353.58,10,10
Japan,10,10,10,34000485.25,10,10,10,10,10,10,10,700000,10,10,10,10,10,10,10,10,10,10,10,10,10,3166667.896
Korea,10,10,10,19684470.63,10,10,10,10,10,41995.98,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1833332.104
Madagascar,10,10,10,10,10,10,2164554.05,10,10,10,10,10,10,10,10,10,10,10,10,10,3132105.03,10,10,10,10,10
Melanesia,10,10,10,15281.7,2362.95,10,10,1952206.26,10,10,10,10,1084816.36,10,3855.76,10,10,10,10,10,10,10,10,10,3008.86,10
MiddleAfrica,11539249.36,10,10,8738.8,10,10,10,10,10,10,10,10,10,10,10,10,171280.48,10,10,646750.72,10,10,10,10,10,10
NordicCountries,10,10,10,8514408.58,10,2026625.52,10,10,10,10,10,10,10,10,10,10,10,10,17638498.83,10,10,10,10,10,10,10
NorthAfrica,21781763.53,10,10,10,10,10,20858943.81,10,10,10,10,10,10,10,10,15101464.52,10,10,10,10,30182846.57,10,10,46983.97,10,10
PersianMiddleEast,288031.67,10,10,1440158.35,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23827.54,10,10
Portugal,10,10,10,2806984.7,2949462.3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
RussianAsia,10,10,10,14712860.05,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Somalia,10,10,10,10,10,10,1233467.13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SoutheastAsia,10,10,203069.28,1523019.6,10,10,10,129488972.9,10,10,10,10,10,1827623.52,255751.03,10,10,10,10,10,10,10,10,10,10,10
SouthernAfrica,10,10,10,5223584.32,10,10,5977478.28,10,10,10,10,10,10,10,10,10,10,10,10,10,8649398.14,10,10,10,10,10
Spain,10,10,10,12365402.51,12993048.55,1471625.43,10,10,91531.6,10,10,10,10,10,10,10,579559.5,10,10,10,10,10,10,10,10,10
SpanishSouthAmerica,10,10,10,1699335.4,10,10,10,10,389589.19,10,75000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tajikistan,10,10,10,10,10,10,10,1660830.87,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
TurkishMiddleEast,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7637760.9,10,10,10,10,10,10,10,10,10,10
USA,33064664.1,10,10,10,86313655.64,19552204.39,10,67247850.01,608050.28,175251.07,10,1700000,10,10,132819.86,10,3850050.97,10,10,40215265.09,10,10,10,10,10,10
