"","region","X2000","X2005","X2010","X2015"
"1","Angola",48.221,46.666,43.599,41.01
"2","ArabicMiddleEast",25.8935715969024,24.472859160433,22.9018920148252,20.5966018321981
"3","ArabicWestAfrica",37.688,36.596,35.407,33.414
"4","AustrailiaNewZealand",13.0285396837124,13.9802179732314,13.3609635477372,12.844409810126
"5","BalkanPeninsula",10.5293476812937,10.4596556843892,9.74660967176026,9.23960859829857
"6","Brazil",18.666,16.176,14.982,13.785
"7","BritishIsles",11.6233127326799,12.8045502827333,12.5832980927889,12.175425167326
"8","Canada",10.494,11.094,10.895,10.495
"9","Caribbean",19.7951104126155,18.6389426924497,17.6869176607854,16.6793737465626
"10","CentralAmerica",24.1755409909323,21.7078294416013,20.1745203337677,18.4669548556893
"11","ChineseAsia",12.4589728561114,12.578346442856,12.6015382924381,11.6089124029363
"12","EastAfrica",41.5032065027769,39.3919568895438,36.8566387076176,34.5634056709778
"13","EasternEurope",9.43268971598612,10.8158725393819,11.6200135108526,11.1152720539278
"14","FrenchEurope",12.4604316335095,12.5322023110033,11.9902409720491,11.6515675970195
"15","FrenchWestAfrica",42.4607128865584,41.2786392420215,39.7070860764047,37.4307390624437
"16","GermanEurope",9.42287185036751,8.98165544488669,8.9863157666461,9.31045515931536
"17","IndianSubcontinent",25.7763237008612,23.5405830485236,20.9674429273078,19.563555388255
"18","ItalianEurope",9.63819867975826,9.64631831090337,8.81042816789622,8.39473611017781
"19","Japan",8.896,8.697,8.397,8.097
"20","Korea",12.5489624650183,11.108817459645,10.5808624314898,10.5137470135406
"21","Madagascar",39.413,36.433,34.046,32.756
"22","Melanesia",31.5720067729566,29.8471749502068,27.689079029208,26.0762983476298
"23","MiddleAfrica",44.3829283042003,43.739832168677,42.0987929462734,39.5413641572684
"24","NordicCountries",10.8620921551242,11.5106406003044,11.181209197839,11.3562127079358
"25","NorthAfrica",25.1035361595632,25.4325936376656,27.0396552542513,24.19223426997
"26","PersianMiddleEast",24.5837954763092,24.4380742288861,23.1806803219961,20.5514524299283
"27","Portugal",10.794,9.696,8.496,7.498
"28","RussianAsia",19.8915459357872,22.355299358224,23.2680501393103,20.8590558792391
"29","Somalia",47.339,46.053,44.269,42.785
"30","SoutheastAsia",21.417069784064,20.3066262490983,19.1992268076148,17.834352438924
"31","SouthernAfrica",24.4563215841454,23.5384766337829,22.7737904017838,21.2399002949147
"32","Spain",10.195,10.696,9.397,8.497
"33","SpanishSouthAmerica",21.1829155937148,19.7312582823702,18.4597672822348,17.2045048567996
"34","Tajikistan",28.417,29.437,30.151,27.857
"35","TurkishMiddleEast",24.3733198871054,23.2823727672647,22.4079370428922,21.0523532387182
"36","USA",13.988934468408,13.789006530503,12.4903705264535,12.6914199641413
