country,Arabic,Bengali,Catonese,English,French,German,Hausa,Hindustani,Italian,Japonese,Javanese,Korean,Malay,Mandarin_Chinese,Marathi,Persian,Portuguese,Punjabi,Russian,Spanish,Swahili,Tamil,Telugu,Turkish,Vietnamese,Wu_Chinese
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,10758875.201468894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15568069.152933815,0.0,0.0,0.0,0.0,0.0
Melanesia,0.0,0.0,0.0,48656.312737138884,7523.536922084727,0.0,0.0,6215745.520063862,0.0,0.0,0.0,0.0,3454011.2732565547,0.0,12276.583390548858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9580.088153953253,0.0
MiddleAfrica,68690778.28058164,0.0,0.0,52020.27918030426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019597.4719339639,0.0,0.0,3849974.025548441,0.0,0.0,0.0,0.0,0.0,0.0
NordicCountries,0.0,0.0,0.0,9206426.181765571,0.0,2191341.6619199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19072086.558894437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NorthAfrica,66599982.409555905,0.0,0.0,0.0,0.0,0.0,63778366.196775675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46174281.067981765,0.0,0.0,0.0,0.0,92287157.91830675,0.0,0.0,143658.32092618928,0.0,0.0
PersianMiddleEast,736117.2641230316,0.0,0.0,3680586.3206151347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60895.60761003158,0.0,0.0
Portugal,0.0,0.0,0.0,2320210.7069538594,2437980.516323001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RussianAsia,0.0,0.0,0.0,34378103.705302864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,0.0,0.0,0.0,0.0,0.0,0.0,8325170.322189799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SoutheastAsia,0.0,0.0,394756.58259137656,2960674.3694353173,0.0,0.0,0.0,251720124.40912518,0.0,0.0,0.0,0.0,0.0,3552809.243322398,497167.2849631655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthernAfrica,0.0,0.0,0.0,10648065.863962736,0.0,0.0,12184848.281696152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17631449.103966452,0.0,0.0,0.0,0.0,0.0
Spain,0.0,0.0,0.0,12011671.64929661,12621362.934183206,1429527.3802546782,0.0,0.0,88913.20147853086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562980.3323911803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpanishSouthAmerica,0.0,0.0,0.0,3288625.315370118,0.0,0.0,0.0,0.0,753949.3809335928,0.0,145143.1534073605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6581509.616282468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TurkishMiddleEast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19501893.225758407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,42816285.28450729,0.0,0.0,0.0,111769776.11670263,25318653.126835786,0.0,87080973.27375922,787379.9708675906,226937.12498761388,0.0,2201373.791777386,0.0,0.0,171991.85813620122,0.0,4985530.17786185,0.0,0.0,52075782.705003515,0.0,0.0,0.0,0.0,0.0,0.0
