,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
RussianAsia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4322743.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,13015422.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SoutheastAsia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96092410.45,0.00,694427.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173606.91,0.00,0.00,77284287.41,0.00
SouthernAfrica,0.00,0.00,0.00,9276906.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spain,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24255886.94,0.00,0.00,0.00,0.00,0.00,0.00
SpanishSouthAmerica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73645663.12,0.00,0.00,0.00,0.00,0.00,0.00
Tajikistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20712478.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TurkishMiddleEast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85806903.92,0.00,0.00
USA,0.00,0.00,0.00,240654807.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
