region,2015,2020,2025,2030,2035,2040,2045,2050
Angola,3.03E-01,1.88E-01,8.98E-02,2.23E-03,-7.61E-02,-1.46E-01,-2.06E-01,-2.59E-01
ArabicMiddleEast,7.21E-02,-4.94E-02,-1.39E-01,-2.23E-01,-2.86E-01,-3.38E-01,-3.81E-01,-4.18E-01
ArabicWestAfrica,1.32E-01,-3.56E-02,-1.67E-01,-2.74E-01,-3.61E-01,-4.33E-01,-4.94E-01,-5.45E-01
AustrailiaNewZealand,1.58E-02,-6.60E-02,-1.34E-01,-1.91E-01,-2.40E-01,-2.82E-01,-3.19E-01,-3.52E-01
BalkanPeninsula,-7.10E-02,-5.05E-02,-3.84E-02,-2.31E-02,-5.24E-03,1.56E-02,3.98E-02,6.74E-02
Brazil,4.95E-02,5.63E-03,-2.88E-02,-5.49E-02,-7.38E-02,-8.64E-02,-9.35E-02,-9.55E-02
BritishIsles,5.38E-04,-3.96E-02,-7.68E-02,-1.09E-01,-1.37E-01,-1.62E-01,-1.84E-01,-2.05E-01
Canada,1.34E-02,-3.67E-02,-7.89E-02,-1.16E-01,-1.47E-01,-1.73E-01,-1.95E-01,-2.13E-01
Caribbean,4.06E-02,1.14E-02,-1.11E-02,-2.88E-02,-4.16E-02,-4.89E-02,-5.08E-02,-4.75E-02
CentralAmerica,7.82E-02,1.44E-03,-6.23E-02,-1.15E-01,-1.58E-01,-1.93E-01,-2.21E-01,-2.43E-01
ChineseAsia,-4.14E-03,-3.00E-02,-4.82E-02,-5.72E-02,-5.83E-02,-5.29E-02,-4.17E-02,-2.54E-02
EastAfrica,1.44E-01,-1.16E-02,-1.41E-01,-2.48E-01,-3.37E-01,-4.11E-01,-4.73E-01,-5.25E-01
EasternEurope,-1.08E-02,-6.63E-03,1.57E-03,1.52E-02,3.44E-02,5.75E-02,8.11E-02,1.03E-01
FrenchEurope,2.97E-02,-7.94E-03,-4.16E-02,-7.09E-02,-9.85E-02,-1.24E-01,-1.47E-01,-1.68E-01
FrenchWestAfrica,1.43E-01,-7.08E-03,-1.35E-01,-2.43E-01,-3.35E-01,-4.14E-01,-4.80E-01,-5.36E-01
GermanEurope,-4.64E-03,-2.55E-02,-4.34E-02,-5.28E-02,-5.98E-02,-6.40E-02,-6.56E-02,-6.47E-02
IndianSubcontinent,7.33E-02,6.84E-03,-4.94E-02,-9.67E-02,-1.35E-01,-1.65E-01,-1.89E-01,-2.07E-01
ItalianEurope,-2.14E-02,-2.53E-02,-2.71E-02,-2.67E-02,-2.61E-02,-2.41E-02,-2.02E-02,-1.37E-02
Japan,-7.22E-03,1.13E-03,1.67E-02,3.86E-02,6.59E-02,9.77E-02,1.33E-01,1.71E-01
Korea,1.89E-02,-5.49E-03,-2.65E-02,-4.33E-02,-5.54E-02,-6.08E-02,-5.84E-02,-4.92E-02
Madagascar,1.56E-01,1.78E-02,-1.02E-01,-2.04E-01,-2.90E-01,-3.61E-01,-4.21E-01,-4.72E-01
Melanesia,1.30E-01,3.94E-02,-3.75E-02,-1.03E-01,-1.59E-01,-2.08E-01,-2.48E-01,-2.83E-01
MiddleAfrica,1.70E-01,5.09E-03,-1.33E-01,-2.47E-01,-3.41E-01,-4.20E-01,-4.85E-01,-5.39E-01
NordicCountries,-7.72E-04,-2.37E-02,-4.64E-02,-6.79E-02,-8.70E-02,-1.02E-01,-1.16E-01,-1.28E-01
NorthAfrica,1.05E-01,-1.06E-03,-8.92E-02,-1.61E-01,-2.20E-01,-2.71E-01,-3.17E-01,-3.57E-01
PersianMiddleEast,9.11E-02,-4.06E-03,-7.53E-02,-1.30E-01,-1.73E-01,-2.08E-01,-2.38E-01,-2.63E-01
Portugal,1.56E-02,7.20E-02,1.27E-01,1.82E-01,2.38E-01,2.98E-01,3.63E-01,4.35E-01
RussianAsia,6.38E-02,-3.63E-02,-1.16E-01,-1.77E-01,-2.25E-01,-2.67E-01,-3.04E-01,-3.36E-01
Somalia,1.80E-01,2.64E-02,-1.10E-01,-2.29E-01,-3.29E-01,-4.13E-01,-4.82E-01,-5.41E-01
SoutheastAsia,6.36E-02,2.97E-03,-4.69E-02,-8.80E-02,-1.21E-01,-1.47E-01,-1.67E-01,-1.82E-01
SouthernAfrica,6.81E-02,1.10E-02,-3.56E-02,-7.22E-02,-1.00E-01,-1.23E-01,-1.42E-01,-1.57E-01
Spain,-2.21E-02,-3.53E-02,-5.76E-02,-7.52E-02,-9.18E-02,-1.07E-01,-1.20E-01,-1.31E-01
SpanishSouthAmerica,6.74E-02,1.16E-02,-3.54E-02,-7.42E-02,-1.06E-01,-1.32E-01,-1.51E-01,-1.66E-01
Tajikistan,1.54E-01,4.95E-02,-3.69E-02,-1.04E-01,-1.58E-01,-2.03E-01,-2.44E-01,-2.80E-01
TurkishMiddleEast,9.12E-02,-1.31E-02,-9.62E-02,-1.47E-01,-1.95E-01,-2.41E-01,-2.81E-01,-3.17E-01
USA,2.15E-02,-1.70E-02,-5.37E-02,-8.89E-02,-1.21E-01,-1.49E-01,-1.72E-01,-1.92E-01
