year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,30296213.0122,138261646.658,4064818.6838,26838741.1239,27285449.6031,205641069.042,67854406.198,34501681.5848,43231261.9413,172326475.908,1381014008.47,357419625.215,290171868.532,76497502.9403,346333642.685,113031573.592,1712123575.91,65321758.8358,127063948.876,75360462.4574,24401221.2564,10102254.9036,125715634.662,32062383.3308,224238835.079,112162960.643,10763516.3083,58695932.5072,14177139.9156,632559877.938,62908426.3076,45548629.5292,211019113.036,8770060.70643,112093714.802,314853384.384,7294712816.57
2020.0,38553812.3992,146555152.309,4552724.67962,27264710.0153,27078207.264,213452466.974,68235027.8413,34958231.4182,45479749.5492,183517090.342,1405273513.91,406380632.95,286579365.913,76416807.5989,393615981.818,111601777.392,1819325050.5,63930571.273,125558184.614,76435825.9526,28072238.3987,11278968.7515,145772945.659,32132994.3613,243895699.069,120333567.312,10920956.1853,61429655.4581,16676080.1171,667580137.55,67738482.3448,44318979.2547,223292085.599,9943162.45075,121293924.885,320870076.046,7680314838.15
2025.0,48256506.1217,154041966.925,5063081.20276,27600740.3747,26804006.0067,219936655.536,68381147.8454,35322820.7297,47508231.7182,193772722.282,1417197250.26,458616996.693,281612907.426,76092107.3927,445457799.363,109970347.417,1918791041.02,62384235.2391,123378101.657,77198019.499,32101211.456,12495409.1204,167947799.074,32167680.3702,262480379.759,127433002.594,11053725.4147,63426029.943,19524612.179,699485232.854,72425860.0508,42906399.7759,234641594.052,11106536.4531,130557148.093,326597396.438,8043736702.34
2030.0,59522925.1985,160657472.194,5593500.5732,27823584.8069,26472522.3263,225026159.616,68286764.2233,35565032.0389,49284375.8226,202968756.754,1418352445.58,513876406.56,275472017.647,75562014.4276,502018192.008,108063793.846,2007691583.26,60750909.6508,120729621.555,77544442.649,36417417.2505,13744834.1672,192210021.041,32108616.5063,280426665.519,133724921.313,11173516.3262,64858680.78,22713826.8003,727707898.349,76930398.9149,41423067.3389,244991971.194,12266865.7844,139955935.694,331419217.125,8383336374.84
2035.0,72402259.8052,166435670.564,6140597.66406,27954676.2276,26079834.941,228708461.583,68024295.117,35662075.1307,50795642.2692,211045565.649,1410601269.1,571637223.128,268875879.426,74796748.5148,563086561.528,105862853.025,2084772593.99,59030595.0372,117786344.522,77315275.4164,40957002.3265,15011403.9017,218379438.798,31956632.8894,298259538.472,139552191.908,11273162.6676,65981515.9428,26227586.6948,752058405.839,81293933.3753,39932592.432,254229842.234,13465755.3928,149456789.993,335060454.824,8700110670.33
2040.0,86858051.0809,171339691.488,6702286.57766,28020370.0108,25624032.565,231143328.542,67665424.5249,35652957.1908,52031413.6628,217960162.124,1395040974.09,631089220.988,262589639.241,73746346.6905,628071129.843,103397058.187,2149990414.19,57230734.6684,114687701.139,76476202.1267,45704047.7669,16274405.2624,246048310.031,31768018.6385,315893943.284,144986475.115,11341628.234,66864973.4004,30057657.9394,772592511.633,85556570.4315,38398309.2386,262318605.725,14709757.4323,158963540.85,337653936.667,8994449830.58
2045.0,102821342.329,175286174.715,7272693.58819,28052643.7538,25107934.0432,232384580.865,67221574.2559,35577859.0572,52979368.2737,223690862.813,1372526631.39,691506334.104,256833665.2,72411695.6717,696138762.445,100712758.026,2203579629.45,55318766.8912,111662256.945,75168790.3851,50642610.3193,17517847.2163,274754303.798,31583602.3635,332787634.926,149711870.936,11365593.9867,67414596.1597,34199537.6403,789337370.385,89654521.5572,36764211.1955,269209634.981,15954381.711,168331054.309,339484194.066,9264967289.76
2050.0,120259226.0,178156970.196,7843582.34564,28050231.7399,24540869.5822,232436239.168,66660958.5419,35480510.4978,53627009.0229,228202484.388,1343353426.86,752191888.436,251271657.531,70895602.7754,766238012.808,97897523.3854,2245526514.99,53284856.3936,108773170.372,73534575.7711,55744825.9843,18734284.1421,304208883.506,31414056.9534,348475851.737,153347434.294,11342958.7151,67523719.0662,38625966.822,802415411.193,93521908.4825,35003620.921,274907764.322,17142768.8028,177456292.986,341116809.834,9509207868.57
2055.0,139072992.993,179917687.492,8408082.29738,28013167.8378,23935712.7229,231390381.767,65951160.0673,35389564.5644,53989215.6481,231435181.696,1309169301.2,812407268.473,245549223.018,69305309.451,837617748.495,95052416.3913,2275258382.35,51177198.6679,105928975.957,71711510.4157,60940550.6653,19915662.8481,334104356.559,31249075.2529,362643929.65,155679982.936,11280641.5197,67177351.438,43283756.6522,811953020.597,97122678.6159,33129678.7305,279406098.473,18257837.4276,186296202.931,342958573.865,9726079879.67
2060.0,159157432.053,180620862.125,8965222.89006,27950928.4499,23304673.8004,229240735.502,65144633.0592,35347167.4512,54087166.7463,233412394.702,1272266867.21,871396924.323,239578019.353,67697497.2972,909588889.223,92380684.0343,2293082969.1,49105403.5328,102965460.452,69824708.758,66166712.0081,21045663.2207,364045092.104,31080721.6145,375403543.275,156740815.017,11195695.7022,66455056.5019,48100456.3109,818383957.579,100438662.58,31217927.9299,282720407.892,19310211.8343,194842419.327,345008983.48,9917274966.44
2065.0,180455592.757,180409340.452,9510544.97051,27859917.9855,22671210.4346,226132488.277,64345629.4334,35352771.2163,53962797.6665,234204560.158,1234973092.83,928590396.574,233606388.654,66122834.0712,981477008.739,89973622.348,2299218034.42,47199650.3201,99937561.3921,67948989.0207,71354941.4687,22115465.2184,393629067.228,30918161.7973,386893963.54,156711957.455,11110393.7321,65471131.9314,53026310.2939,822210018.024,103470063.267,29381716.188,284910043.621,20312535.6836,203107169.863,347126792.548,10085702163.6
2070.0,203287923.283,179734845.342,10059158.2103,27745640.0109,22052790.8024,222529693.166,63590315.1737,35391729.0848,53727630.6911,234275935.577,1198794410.5,985775606.812,227863215.886,64560076.5682,1054970603.38,87719064.2006,2298447018.95,45458761.6237,97002524.3923,66101474.0515,76631310.616,23159908.6472,423682108.75,30772099.8108,397759710.518,156133031.706,11029009.7635,64370685.6253,58205216.5007,824626230.777,106325106.83,27668481.9717,286446180.443,21304975.976,211342225.025,349170246.813,10247714947.5
