year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,30620694.7299,139089038.438,4103753.13665,27053425.5491,27643194.4119,207135314.266,68574736.1612,34808249.6921,43624790.7611,173340510.016,1392933120.2,360835464.501,294736639.091,77325605.9066,351133861.601,114440719.031,1726807659.89,66136221.8855,128626539.008,75966189.0356,24594289.1925,10186623.3187,127347023.399,32451153.723,225830438.937,112883882.064,10899778.076,59183672.0499,14378555.0904,637729158.196,63700655.6025,46028670.5024,212604687.551,8824926.93729,112851088.626,317983285.298,7362413615.88
2020.0,39286721.0224,148138033.589,4630987.50389,27665843.6865,27746180.7516,216399907.895,69572399.3774,35539174.2949,46251688.9961,185521944.101,1428409784.32,413121450.113,294968707.091,77951867.5,403107593.333,114206649.718,1848134681.73,65429660.2307,128528327.42,77613337.8628,28461409.4248,11452650.1402,149054189.04,32850220.9651,247035856.221,121721540.617,11181106.485,62366123.2613,17090271.0685,677767150.605,69227493.933,45201158.5671,226418197.986,10056303.0774,122794028.466,326795849.015,7811698489.41
2025.0,49553093.3336,156445874.947,5187392.40322,28195174.892,27784854.9359,224514198.022,70348231.5974,36196088.7531,48706608.0402,196909280.849,1452760062.57,469193363.578,293773826.58,78342041.3374,460330410.741,113779722.429,1963468608.84,64567859.7754,127829761.862,79012458.8074,32724764.6696,12777515.3743,173162430.869,33218716.2444,267383461.619,129560665.766,11445950.5077,64841929.0337,20197035.6337,715396774.822,74696581.1391,44184565.1944,239512466.066,11290389.0016,132917600.112,335493963.671,8245703724.02
2030.0,61570693.0879,163972695.357,5771411.90883,28620759.9096,27768282.2042,231410111.753,70893195.9024,36750301.6507,50957109.0267,207380052.227,1467659817.14,528821934.189,291336462.782,78533313.2721,523037659.952,113067410.393,2070102988.4,63613615.8825,126708694.696,80059298.0265,37317957.1857,14156100.1281,199671570.319,33501166.2352,287340768.648,136688107.24,11706883.0969,66791359.5664,23694902.4482,750080297.58,80070492.4545,43085777.6296,251816934.41,12536004.4906,143305945.21,343491656.403,8663291730.81
2035.0,75422555.183,170769710.51,6380573.95791,28965441.3899,27694051.8117,237082601.255,71286192.5644,37183699.7933,52989049.4407,216880366.906,1474936123.15,591522099.944,288424146.95,78500756.6131,591083198.281,112042203.595,2166769416.49,62566108.0416,125311849.747,80588700.7246,42182792.8677,15574620.4225,228416929.624,33699733.9576,307476246.621,143477170.23,11957593.9918,68476022.6001,27571506.7339,781676516.25,85390387.2564,41971073.2079,263227467.401,13837957.6301,153948531.015,350506000.213,9065789396.36
2040.0,91103049.6978,176809434.283,7013406.46374,29256303.8664,27560497.6771,241674937.317,71603687.7653,37536203.5145,54791332.7654,225380143.441,1475576081.38,656529842.427,285835168.16,78193812.2775,663912914.843,110740487.714,2253296611.84,61428291.9393,123747790.884,80559917.0001,47309300.9923,17013695.4857,258998523.181,33867890.8505,327733083.421,150014948.504,12186353.734,69967344.3957,31822459.4017,810244332.956,90697659.6908,40808994.6984,273708493.548,15205764.8735,164772902.707,356651455.735,9453553119.43
2045.0,108577705.671,182008676.248,7664628.02572,29522441.8526,27367735.3471,245229113.195,71848205.9331,37843324.1362,56350789.3225,232857225.477,1470155628.03,723155694.964,283757866.993,77598836.896,740739001.044,109219770.782,2329852147.03,60163126.5777,122209114.813,80111131.5884,52687041.0834,18458354.4264,290959958.128,34042065.8651,347570916.587,155990486.23,12378547.7351,71161211.2769,36448815.2413,835750265.399,95927875.865,39541869.8614,283207252.615,16595465.1081,175645239.239,362177910.249,9824775438.84
2050.0,127844513.048,186241129.986,8326270.44556,29759167.0412,27120035.3977,247726994.75,71978625.1149,38140307.3411,57651201.5505,239283570.065,1458484881.6,790726616.503,281770362.698,76799277.07,820550812.373,107563441.007,2396412617.72,58757460.6762,120747824.417,79373925.5881,58292958.5117,19901892.6008,324016807.709,34231201.5536,366501212.051,161017305.667,12530328.6545,71930271.4964,41426481.8153,858215239.453,101011990.675,38134303.7519,291711368.286,17949082.1317,186468486.551,367602597.429,10176200562.7
2055.0,148839974.558,189454992.844,8991519.45577,29961092.9776,26827137.355,249240372.571,71955680.6229,38446881.7524,58698832.1873,244594678.201,1441690772.14,858555685.873,279451872.054,75890511.6639,902619193.117,105849671.467,2452218488.54,57250859.2361,119277927.54,78463528.5318,64063746.5612,21335936.7858,357867694.796,34423444.6508,384196162.609,164872570.983,12647644.3264,72243318.1369,46705764.0471,877648118.972,105908214.238,36592979.7147,299194819.045,19248193.2511,197201835.837,373289387.612,10505719504.3
2060.0,171490936.98,191683861.698,9659394.12554,30135120.1376,26499914.6064,249747672.204,71823470.1644,38798616.4026,59505383.4683,248797481.857,1421675449.11,925924512.111,276719481.912,74924314.5476,986263397.358,104249887.943,2497319601.22,55744066.7794,117654469.949,77477550.3596,69941613.8338,22744462.6498,392136356.761,34608145.5624,400763444.444,167590801.18,12746751.9846,72174640.2969,52218138.2456,894367615.7,110596307.082,34986271.7343,305650906.274,20504192.9804,207842973.931,379198364.069,10814165569.7
