country,Arabic,Bengali,Catonese,English,French,German,Hausa,Hindustani,Italian,Japonese,Javanese,Korean,Malay,Mandarin_Chinese,Marathi,Persian,Portuguese,Punjabi,Russian,Spanish,Swahili,Tamil,Telugu,Turkish,Vietnamese,Wu_Chinese
Angola,1652816.2323456693,0.00032641546926724793,446.91968322337374,144809873.8516469,10958644.58059209,2312302.2749320413,60295.89281247202,757834.8502325071,12397.631138755734,32060.413700264493,5987.47781213621,47585.49417753981,1111.3676033621198,2681.4523358405177,0.17441049230972155,13340.292932908165,21445761.347748827,0.06350563520002268,17529.27698589366,2254149.2556461133,332359.810286629,0.018564909639450723,0.00012628073657677415,1981.333023697458,4610.614068929239,168.83376403274218
ArabicMiddleEast,151035150.4639304,0.007361357589018499,138.68318708456616,10062983.072585724,0.0,0.0,5405.979237051196,0.0,103566.95477875236,5009.66632781961,194.16275872699197,1185.8991440148925,0.38740494205139986,797.0430712365346,0.10030514495486681,815805.3565423894,17893.2659439789,0.028430379483468403,205769.22621148816,2640999.2332229926,18084.476610350273,0.0012031051498234751,0.0027940211130451113,18906.201857638513,144.66412369606817,23.154013561124227
ArabicWestAfrica,4009824.751511247,0.00022997236359149366,120.74404677941992,6176991.554119935,17587.24952554092,3.455534963550995,2919.7075533907964,15937.862864275041,14352.351656286319,0.15749381582739266,14935.177180941148,0.05220898316803147,470.3276908653266,3616.7946491121625,0.025649084175317353,0.7654965330303397,6073.25242423011,0.011097581068783762,2.2869718940268786,51786.772560916375,25513.627388700286,0.04155805785178112,8.740715735551519e-05,183.55809605591693,11519.356516135607,0.0006315819458851874
AustrailiaNewZealand,2894415.478267038,3654.740803351187,11287.86996972768,23023405.571456052,52963.22045235621,12.45452265786418,670.6716578191463,26936.5587475372,27226.50584202473,61728.64455810187,3666.051144305998,0.23584520451916716,106402.70964892377,92697.44081817208,1344.386579915614,25368.814649923122,5833.741420412843,2259.444553254588,0.2477761554322717,286061.4392791904,302.53138754078435,79.26046035372589,1389.0259012250694,71.38649077762882,2912.6302435005646,67.57425224232658
BalkanPeninsula,2106816.5896812007,2.162335796238625,83.58114093279252,158373.50481044356,48015.36978940777,15432.300919622325,367.1129179900747,12797.027081090802,3594.783835386715,1393.2597103574492,5042.651866331218,140.15579051862613,423.3583994440347,15308.56138146738,3.70553146162506,21898917.03690093,5428.962598262772,1.9116143371557546,5660185.523370859,44298.9614626014,99.78454744407583,9.381406109200258,0.8167180060751211,5129.024796704567,3888.8065396611046,436.68841599076706
Brazil,189644.97805355137,0.22008630319915798,79.8304178151697,84237546.6739307,526548.2060809556,85489.28047750893,1987.2164537539725,105735.49639836318,137558.59207508698,15943.33152927507,22.02525476976738,637.5780535366439,63.2118714786739,3437.717126762316,64.37591943418148,11297.544328972745,122111896.05691458,8.763635782351724,650828.837634126,360014.43484771287,382.89990742360413,0.03676391659627421,0.08381734393830824,4100.069795888131,16.990222385479232,174.20915229757088
BritishIsles,485192.36663093866,9.231499769107606e-05,322.54849824484694,20403593.61131718,3868325.3100974,710194.4238645303,3916.229593101367,1566311.3030420635,24512.8505224107,1270.8991773828461,138.08740427988667,1713.3257965308765,211.4500032153041,250.62831558510769,0.2141744479370147,129868.07869939618,206127.73708492555,0.07098686762128587,8071403.692921103,656575.0187823278,2176.6925553675123,0.00029695242609146264,3.501820907608189e-05,94078.19935123819,106.87288839340701,2.4265842596562965
Canada,254304.7949012794,17.12416902053171,14354.846826683794,25410781.95716958,4834134.098030375,44847.074460093194,10933.64207034379,22137.097388604765,18.046039550087855,4540.298569806793,378.69600224877337,228.76733838892793,946.8093849189995,948.8310399772425,0.5857361648950546,4039.7996299291735,14816.38403038159,2252.0024869373283,283459.3017797443,77743.88670860407,2238.640919075842,0.947942432290526,6.530712818522809,1215.6711573123673,292.0803874898993,5.430527616683683
Caribbean,91628.77865956833,0.001576114154602242,94.96004511253486,26157549.516512252,372605.02464090264,220477.40840252378,421.7194443784251,30970.412519642046,24838.802100946905,1088.895746440269,14492.014674484937,1293.0925894231555,400.6201855788287,15991.867536210555,0.028101748113735687,1165.2180636944277,284821.29085933213,0.007497582006680543,875403.4248212833,1656978.3281994918,102.28568980700527,25.250188815160623,0.0005902712053436345,8969.040931697547,11189.457715717788,6.579627723018417
CentralAmerica,0.41806451683927903,0.00018891091085195406,1148.576285312179,758936.1770407201,3877580.130996668,2.9722980403057204,4.635760389641368e-06,2258.6358310187993,9028.633362329247,22334.360015079485,0.013223975269240207,0.07992825548054405,2685.118872829824,315453.6163059967,0.01346274995959631,919.1405557523552,338910.95618708705,0.01098112169525606,51.03817911657782,199623570.09292352,0.0,3.0096196507781108e-05,7.058241644990032e-05,125690.1210874372,0.012451463342946204,12124.731300711468
ChineseAsia,6160785.709904883,11.597191252260913,3799280.0886909273,2074815.8804739893,850998.5342404927,36904.84769365311,117814.95436433659,37532.881095376295,54.19871364723804,119889.01219553522,5624.888646860499,58067.853964394424,7435309.278013312,926651643.3531995,2959.275984230832,30935.570730321746,5992.59605558745,8.207135596906513,220294.5617138638,511121.4038186159,51735.578853815525,10.623735654346817,4.415103742633887,1331.8873295859692,9252.024423794477,42392233.620992236
EastAfrica,47798968.249420896,4.615339316213572e-05,876.1821659342512,753220547.481772,0.0,0.0,331090.1964398518,0.0,70623.39374162645,277302.22316585016,1348.5495699107307,97908.90015082473,3167.6662780448933,22215.957660741627,0.0452084258882794,22621.628639471164,1176229.383573693,0.09013918752981623,174405.5468956293,0.0,0.0,0.003546833332988201,1.6183468449974924e-05,79897.80354904791,1040.8750136833323,1337.4754469692123
