year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,29108991.7687,135396233.938,3932889.65643,26522979.3193,27082169.5218,202922476.707,67137785.8722,34182717.8265,42560593.0005,169169554.745,1366241976.61,345430178.978,287623730.612,75737686.7375,333988382.177,112237077.408,1679974767.8,64893155.5581,126265834.388,74666705.3662,23632044.4483,9847478.9509,120944953.852,31767992.7182,218779302.133,109830582.347,10697317.8084,57485910.5137,13606813.2967,621720595.865,61664939.0475,45218639.1711,207524736.562,8527300.20037,109795429.682,311427982.781,7167547907.37
2020.0,35647214.2165,140697804.237,4262827.54272,26605123.386,26629594.3372,207840631.981,66717814.4556,34275125.584,44062294.7803,176975316.326,1374954303.0,379803921.399,281016990.169,74810345.7962,365968344.498,109793909.999,1751583288.36,62989278.0238,123776314.321,74945354.1642,26331839.4839,10719703.4699,134957651.941,31479903.897,232506914.495,115569982.367,10769633.3589,58999578.9529,15350083.6612,644835551.655,65038410.8201,43642404.0441,215959396.66,9415415.7018,116383485.527,313364480.037,7408680232.65
2025.0,43047819.9633,145226041.015,4595717.57934,26610265.4899,26124260.1192,211540325.059,66111026.2437,34280614.3772,45343701.6946,183845176.267,1372844878.66,415358388.786,273411761.258,73689302.527,400067988.658,107199332.871,1815063458.51,60969746.4221,120683559.772,74920589.4007,29209540.6742,11594904.8907,149977054.73,31164757.1284,245010634.015,120347794.85,10815185.9444,59894214.6683,17271114.7689,664736397.422,68209199.5918,41934054.0748,223436401.369,10271557.4327,122836502.047,314937541.848,7622580810.13
2030.0,51339747.2484,148937725.21,4929374.84497,26518692.7917,25573995.3612,213988946.359,65316084.1792,34173840.2346,46384491.9922,189713679.899,1361116553.71,451861622.715,264964744.586,72407935.6617,436245032.296,104409931.751,1868385773.03,58893813.3123,117177180.403,74515357.6435,32203402.7321,12467667.8139,165913055.653,30773749.897,256647767.318,124377128.948,10842675.4626,60314023.2869,19350201.5116,681048393.401,71151028.1512,40187900.0509,229919969.22,11101713.6562,129209525.778,315636597.359,7807999323.46
2035.0,60501478.3573,151870082.359,5261021.57144,26347215.8483,24973692.0598,215185430.192,64385419.4212,33932870.5638,47180643.9983,194559135.325,1341316163.43,488897999.184,256208128.116,70938899.396,474210338.176,101414557.926,1910877512.97,56761221.7756,113420843.796,73609180.1335,35260950.2738,13325674.5015,182591784.438,30306347.4503,267812918.339,127913021.846,10845589.5926,60457383.9997,21565949.8356,693668699.846,73903814.2265,38452308.9722,235338924.844,11935840.6983,135464995.61,315261827.195,7965957866.27
2040.0,70458935.2971,154010626.895,5589257.06865,26116911.4448,24321117.9974,215281661.594,63372767.8725,33588762.412,47727830.6008,198362549.451,1314431444.84,525875481.466,247743957.761,69243598.0841,513457338.501,98227885.0675,1942859690.01,54581086.6498,109555153.337,72180664.7905,38367205.5565,14154183.8139,199705007.078,29810604.2735,278444798.324,131010458.872,10815535.9987,60383284.0293,23904703.4672,702714745.565,76502688.5426,36692126.1434,239686738.657,12777009.5743,141520129.295,313945778.803,8097421719.14
2045.0,81121010.4383,155318591.006,5910167.77888,25856237.7988,23620539.1399,214337664.992,62295828.4251,33178525.2434,48020032.7266,201129544.309,1281392118.4,562310189.281,239790840.5,67335949.5971,553352230.319,94875614.4719,1964761561.61,52329003.5016,105800946.844,70344987.1781,41508481.7747,14942662.8061,216935208.988,29323461.7543,288172577.41,133441161.886,10742528.5693,60032942.7472,26355542.7614,708323479.699,78904069.1669,34862076.9616,242949017.795,13593696.0698,147270255.787,311952458.428,8202391206.17
2050.0,92431161.935,155733193.509,6218719.15976,25567715.4282,22883522.4324,212380034.194,61137429.6681,32745138.8839,48052851.1202,202845425.837,1242830039.81,597777697.554,232144130.987,65314930.247,593168576.832,91432260.0648,1976734664.04,49997641.0014,102220701.567,68223399.4778,44664337.4211,15687189.5182,234105155.712,28855002.1086,296714547.002,134940691.45,10626091.6049,59347342.3266,28895627.1219,710724294.224,81065396.7251,32946114.3818,245160319.713,14348313.1017,152649396.689,309776470.947,8280345523.8
2055.0,104292011.512,155261088.884,6511213.72706,25256351.9826,22122843.6352,209499816.793,59877113.5329,32319432.5839,47846406.4636,203484109.282,1200473475.06,631826811.467,224555907.331,63276011.4782,632443058.398,88000303.3152,1978620879.43,47632509.3942,98732085.5857,65945996.7222,47785805.6631,16384178.0868,251034052.425,28398034.2275,303893542.779,135373551.447,10472628.9635,58331726.8654,31487454.6729,710146968.487,82968901.3545,30958130.5959,246344011.237,15032492.2271,157639506.727,307777407.248,8332005819.58
2060.0,116611323.532,153970180.656,6788034.38813,24931802.8329,21349307.6492,205703847.896,58563217.2783,31940637.4836,47425431.1613,203088531.476,1156461331.33,664026708.955,216937186.225,61267813.698,670789472.565,84775156.4343,1970950156.31,45331748.9223,95177985.3611,63636849.5926,50832470.1094,17023647.5843,267485277.43,27948104.8611,309829795.611,134772019.766,10297139.8108,57052034.6855,34084280.5775,707039913.034,84607039.1349,28964661.1216,246540041.827,15655361.2677,162244148.43,305985744.196,8360088403.2
