year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,30225069.4901,138084194.006,4056932.05573,26838131.1842,27316545.7187,205576163.032,67888909.3328,34514379.3336,43220138.6394,172147116.739,1381207133.7,356700019.853,290585452.844,76543529.07,345790376.168,113161377.924,1710972431.69,65397642.5617,127208485.228,75378632.2024,24352126.8395,10088571.2492,125470530.753,32091054.3364,223901635.237,112025750.726,10776235.9881,58641364.1818,14149297.6877,632199312.932,62902714.3283,45584303.5968,210892190.167,8753056.92032,111969507.893,314974040.852,7291584354.46
2020.0,38468715.6475,146366052.849,4543756.8982,27263592.8733,27108780.7991,213385542.619,68270113.379,34970954.9744,45468553.4069,183325965.803,1405469350.9,405562242.949,286987763.11,76463833.9825,392997878.75,111730070.173,1818102304.79,64004936.5284,125700978.067,76454192.434,28016254.8024,11263935.2841,145489180.925,32161731.8664,243528711.19,120185943.503,10933484.9485,61373075.7662,16643453.0842,667199685.248,67731013.2015,44353810.7538,223158519.435,9924065.66953,121159310.722,320991194.628,7676758951.95
2025.0,48155615.4551,153842107.225,5052970.7254,27599098.9621,26833970.2392,219868149.188,68416697.3492,35335507.6077,47497038.0847,193570796.896,1417393996.8,457693204.366,282014158.754,76139995.5834,444757566.834,110096889.106,1917501920.63,62456901.488,123518381.155,77216504.4547,32037701.1677,12479000.462,167621342.86,32196447.7819,262085166.488,127276220.854,11066011.8171,63368152.7589,19486540.9685,699086572.024,72416449.4787,42940230.7089,234501979.851,11085390.2569,130411995.002,326718655.668,8039739329.05
2030.0,59404284.1082,160447831.619,5582191.13447,27821409.5599,26501804.6918,224956520.605,68322651.322,35577607.9683,49273259.4644,202757127.115,1418548530.99,512841105.352,275864449.643,75610642.1389,501228274.648,108188259.194,2006343212.57,60821774.5367,120866850.362,77562944.0487,36345884.5869,13727031.7226,191836907.05,32137325.026,280004137.825,133559920.141,11185527.2062,64800045.3562,22669671.9203,727293011.501,76918877.3184,41455827.4113,244846938.242,12243697.9536,139800025.15,331540070.149,8378885629.63
2035.0,72263921.9513,166217197.285,6128040.66116,27951962.8484,26108362.0138,228638135.136,68060427.0908,35674457.8037,50784672.5939,210825392.68,1410795393.19,570485362.145,269258844.1,74845966.05,562199724.099,105984893.031,2083372932.97,59099555.3661,117920183.603,77333654.175,40877075.805,14992207.4039,217956054.598,31985194.0164,297809817.643,139379491.737,11284860.6618,65922420.2817,26176741.7427,751629365.988,81280135.6178,39964262.0501,254080075.773,13440512.9726,149289934.576,335180265.419,8695197495.08
2040.0,86698215.5761,171113397.339,6688438.71958,28017117.6152,25651732.6387,231072703.367,67701743.5901,35665078.9371,52020654.5163,217732653.543,1395232000.09,629817387.623,262963578.929,73795960.6688,627081060.65,103516356.48,2148547443.9,57297695.1905,114817970.265,76494312.3952,45615384.0457,16253838.2926,245571835.769,31796393.9071,315417279.683,144806511.017,11352968.0081,66805645.5014,29999533.645,772151345.939,85540334.5356,38428840.3748,262164801.275,14682374.1977,158785655.174,337772131.727,8989070375.13
2045.0,102638377.455,175053199.031,7257524.89654,28048852.6535,25134742.4132,232314022.655,67258026.5361,35589667.2098,52968878.3325,223457250.772,1372713553.73,690112584.964,257199336.128,72461499.9102,695040458.447,100829050.664,2202101165.7,55383593.3229,111789035.778,75186521.3042,50544893.7577,17495950.3941,274222814.349,31611789.6558,332285098.532,149525474.105,11376521.8547,67355341.7417,34133554.2213,788886080.375,89635708.4365,36793511.4453,269052505.648,15924872.9857,168142211.435,339600316.109,9259123986.95
2050.0,120051579.486,177918628.997,7827081.29163,28045906.2678,24566735.4712,232366106.264,66697470.6678,35491968.2306,53616842.0588,227964039.56,1343535296.23,750675689.418,251629337.087,70945449.0862,765028128.647,98010647.0572,2244020376.76,53347401.6762,108896610.289,73551851.0514,55637791.2894,18711104.0114,303621008.963,31442063.6255,347949216.793,153155917.351,11353425.9119,67464929.429,38551597.5539,801955923.185,93500408.1624,35031576.4216,274748010.402,17111252.5917,177256679.313,341230608.749,9502908659.35
2055.0,138839295.439,179675364.965,8390253.13276,28008316.0575,23960602.6732,231320998.787,65987638.2022,35400645.2165,53979415.734,231193239.125,1309345409.17,810769577.76,245898684.284,69355116.2462,836294126.217,95162324.6029,2273732768.49,51237371.0315,106049124.377,71728287.0082,60824063.2183,19891252.5956,333459317.038,31276899.4519,362095449.102,155484935.016,11290613.3707,67119420.7745,43200577.2664,811487187.594,97098408.6192,33156185.9628,279244415.826,18224459.8126,186086052.573,343069942.612,9719337739.36
2060.0,158896492.591,180375896.23,8946073.0229,27945559.9364,23328570.3542,229172423.617,65181009.6811,35357858.2135,54077768.5092,233168266.793,1272436829.83,869640225.586,239918910.017,67747218.4508,908150462.98,92487565.9656,2291545868.61,49163239.3009,103082178.53,69840973.3753,66040753.5279,21020092.9187,363342865.879,31108354.4647,374835305.317,156543798.213,11205159.4323,66398300.4345,48008181.4595,817913386.862,100411566.038,31242944.1448,282557475.881,19275096.3598,194621976.5,345117817.226,9910106466.25
