year,Angola,ArabicMiddleEast,ArabicWestAfrica,AustrailiaNewZealand,BalkanPeninsula,Brazil,BritishIsles,Canada,Caribbean,CentralAmerica,ChineseAsia,EastAfrica,EasternEurope,FrenchEurope,FrenchWestAfrica,GermanEurope,IndianSubcontinent,ItalianEurope,Japan,Korea,Madagascar,Melanesia,MiddleAfrica,NordicCountries,NorthAfrica,PersianMiddleEast,Portugal,RussianAsia,Somalia,SoutheastAsia,SouthernAfrica,Spain,SpanishSouthAmerica,Tajikistan,TurkishMiddleEast,USA,World
2015.0,30757559.4336,139434543.262,4119999.94922,27143429.2975,27794275.3079,207763829.479,68877330.1419,34936945.7498,43790071.1842,173765181.061,1397951874.53,362254836.559,296661853.781,77674156.2467,353136340.484,115034350.837,1732964560.81,66479527.0666,129287014.877,76221376.0151,24674633.0506,10222013.7239,128027341.349,32614504.3531,226495212.158,113184030.424,10957113.1109,59388255.5456,14462728.5531,639897569.342,64029926.0093,46231081.8265,213269661.393,8847864.59336,113167479.258,319298143.69,7390816614.46
2020.0,39625605.8175,148861365.935,4666792.4782,27850247.6083,28056461.9283,217760056.154,70189511.7412,35806890.3096,46607598.4997,186441837.833,1439111039.47,416188235.825,298867852.823,78661787.9565,407451165.899,115414050.767,1861385355.64,66125086.9865,129910781.012,78158142.9771,28638624.4907,11532552.1911,150554237.411,33181453.3327,248472715.322,122354236.593,11301552.2906,62796894.4625,17280217.7403,682456712.721,69907161.899,45610098.5628,227856082.558,10108086.6043,123480623.417,329529021.354,7872200138.61
2025.0,50174517.6244,157583226.9,5246358.19383,28478468.9132,28258553.4702,226704250.944,71290758.3066,36613692.7633,49280100.2012,198400007.685,1469842508.64,474179234.948,299661313.53,79422628.934,467392243.037,115615805.839,1984782247.99,65621532.9818,129986270.825,79883766.6766,33018793.6794,12912083.2958,175634381.99,33723138.8918,269708257.154,130565753.023,11634834.6711,65517377.2244,20517007.976,722996735.735,75774980.2212,44800070.5289,241835221.291,11377534.8987,134036996.243,339753155.659,8342223810.88
2030.0,62572821.0253,165573418.01,5857616.27072,29008883.9444,28409468.2468,234530490.999,72170770.8684,37329898.644,51775774.4501,209519568.795,1491903353.79,536012345.869,299219826.003,79993399.7456,533236474.499,115537847.342,2100535103.98,65029214.3536,129679202.7,81294396.1549,37751175.1233,14356494.0401,203284153.032,34185556.8879,290688009.329,138117777.735,11970166.0393,67733720.5375,24171965.72,761004584.993,81598387.1355,43905184.6967,255141404.24,12666205.1535,144927481.569,349403678.637,8800095820.55
2035.0,76922405.9454,172892831.069,6498628.28549,29465208.5757,28507845.9862,241240543.468,72912157.5938,37940302.4336,54080411.2807,219751028.19,1507133878.99,601223943.876,298337506.601,80352196.495,604874575.939,115148773.196,2207394511.51,64347307.0656,129124125.916,82223666.7492,42780755.6919,15853275.5052,233348338.616,34571853.72,312004667.219,145400083.552,12301926.8633,69711952.1979,28234962.3707,796375609.692,87419161.6832,42993165.4014,267677986.195,14020643.5126,156154472.686,358197651.665,9247418355.74
2040.0,93235342.9539,179520040.02,7168311.49248,29875082.1504,28552486.6036,246972281.815,73594362.2106,38485836.779,56183538.3947,229072784.643,1516500252.59,669077570.837,297831428.989,80448861.5146,681776596.922,114489212.95,2305150464.16,63576792.1929,128414311.426,82629196.4924,48100933.5984,17383997.9653,265432930.24,34934172.5917,333618899.104,152509145.514,12618306.4704,71524729.7406,32703898.1753,829183721.052,93280376.6652,42035644.9845,279413046.969,15452044.6885,167659324.374,366243715.113,9684649642.39
2045.0,111497238.751,185373474.408,7861780.21746,30266224.6658,28542376.4128,251765063.643,74215632.4697,39000043.6746,58072560.9715,237464605.327,1520468641.37,738907083.658,297873024.014,80262574.5032,763184505.256,113623699.275,2393965562.6,62678732.6082,127722354.501,82649171.428,53704479.479,18934518.0695,299086984.192,35306617.109,354995086.004,159138704.95,12904320.9492,73063795.2416,37583075.9301,859378033.168,99118517.568,40974602.0854,290295198.034,16916936.6523,179316031.789,373776541.141,10109887792.1
2050.0,131724581.205,190324377.291,8571307.12575,30632259.2393,28479228.0952,255592898.159,74730223.1942,39513933.1613,59730422.1358,244904829.4,1518622765.45,810056681.678,297992926.222,79866282.2367,848116999.097,112634286.928,2473846623.57,61638713.9238,127093079.143,82411667.0289,59571271.8871,20498839.4728,334030502.569,35697187.9106,375636205.693,164902091.121,13155483.6873,74191668.7979,42850466.5572,886939908.47,104864219.426,39770421.6162,300306668.228,18357010.9413,191032841.606,381288619.688,10519577491.9
2055.0,153875254.092,194313662.536,9290214.3723,30964938.0944,28371146.0464,258520674.992,75095502.6488,40042464.8908,61159822.2393,251329655.647,1511825375.07,881872774.765,297731960.608,79348339.0987,935864567.582,111586635.087,2543973506.22,60491673.9001,126443265.37,82020925.6585,65642167.7899,22068753.6993,369968093.013,36093199.0694,395211732.34,169574474.77,13377491.7606,74869037.7862,48458758.1557,911828775.802,110473940.008,38426609.9739,309415119.303,19753369.4249,202772440.871,389120155.164,10911176477.8
2060.0,177896323.644,197366706.142,10017616.3685,31269735.317,28228303.9569,260523117.938,75350898.9321,40617357.6769,62368274.0061,256740603.704,1501765491.97,953663932.196,297009117.722,78757114.1321,1025759433.02,110632384.139,2604295345.23,59332669.0032,125640296.792,81559809.6514,71862830.0562,23628787.4971,406537405.1,36482452.6032,413831217.471,173195642.533,13586352.6479,75167699.7985,54342225.8926,934312531.435,115927734.916,37007456.4814,317605713.898,21118038.4999,214538247.928,397208916.262,11285147784.6
2065.0,203786719.662,199600639.242,10749914.629,31542610.8163,28072191.3711,261686580.647,75589307.0732,41238669.5492,63382214.0979,261186852.209,1490529150.7,1024895399.76,296146145.398,78135833.0388,1117216161.19,109829380.074,2654792618.28,58278558.151,124741307.286,81067033.1149,78166040.6002,25170565.9729,443365051.647,36871310.3536,431632853.702,175947005.655,13802464.5758,75203103.2262,60454437.3821,954769216.095,121225402.29,35616017.79,324916660.634,22467743.9421,226344051.698,405420057.076,11643839268.9
2070.0,231973075.595,201421698.658,11503507.5896,31790603.7456,27916287.1764,262389500.983,75853979.6893,41899738.5333,64301008.6074,265052636.52,1479531326.9,1097491397.91,295409733.86,77469177.8237,1212242403.2,109087657.42,2699595997.83,57328955.884,123875648.596,80551466.4869,84686748.7703,26730456.8817,481387324.926,37274775.9392,449229919.799,178277263.945,14027207.044,75109104.8003,66965841.0169,974288784.208,126484908.841,34294530.1221,331765254.858,23841829.4805,238423327.923,413647604.272,12003120685.8
